a,b,pearson_log_cpm
E-MTAB-12305:T1,GSE197461:ADC_4,0.8047
E-MTAB-12305:N3,GSE197461:ADC_3,0.8029
E-MTAB-12305:T3,GSE208653:HSIL_1,0.8028
E-MTAB-12305:T3,GSE197461:SCC_3,0.8021
E-MTAB-12305:N2,GSE197461:SCC_2,0.8005
E-MTAB-12305:N3,GSE197461:ADC_5,0.7905
E-MTAB-12305:N3,GSE208653:HSIL_2,0.7894
E-MTAB-12305:N3,GSE197461:SCC_1,0.7887
E-MTAB-12305:N3,GSE208653:SCC_5,0.7886
E-MTAB-12305:N3,GSE208653:SCC_4,0.7871
E-MTAB-12305:N1,GSE197461:SCC_2,0.786
E-MTAB-12305:T3,GSE197461:ADC_2,0.7854
E-MTAB-12305:N2,GSE197461:ADC_4,0.7753
E-MTAB-12305:N1,GSE197461:ADC_4,0.7711
E-MTAB-12305:N3,GSE197461:ADC_1,0.7615
E-MTAB-12305:T3,GSE197461:ADC_4,0.757
E-MTAB-12305:N3,GSE197461:SCC_2,0.7415
E-MTAB-12305:N3,GSE197461:ADC_4,0.7257
