a,b,n_a,n_b,observed_overlap,expected_by_chance,ratio_obs_over_exp,jaccard
GSE208653:SCC_5,GSE173231:CX8,6734,1874,0,17.1,0.0,0.0
E-MTAB-12305:T1,GSE197461:SCC_2,12732,6914,0,119.4,0.0,0.0
GSE208653:SCC_5,GSE173231:CX6A,6734,1448,0,13.2,0.0,0.0
E-MTAB-12305:H2,GSE173231:CX6A,13302,1448,0,26.1,0.0,0.0
E-MTAB-12305:T1,GSE197461:SCC_1,12732,3428,0,59.2,0.0,0.0
E-MTAB-12305:H2,GSE173231:CX6B,13302,1487,0,26.8,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX8,6346,1874,0,16.1,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX7B,6346,1710,0,14.7,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX6B,6346,1487,0,12.8,0.0,0.0
GSE208653:SCC_5,GSE197461:ADC_3,6734,3310,0,30.2,0.0,0.0
GSE208653:HSIL_1,GSE173231:CX6A,6346,1448,0,12.5,0.0,0.0
E-MTAB-12305:H2,GSE173231:CX5,13302,3169,0,57.2,0.0,0.0
E-MTAB-12305:H2,GSE197461:ADC_5,13302,3562,0,64.3,0.0,0.0
GSE208653:ADC_6,GSE173231:CX7B,10154,1710,0,23.6,0.0,0.0
GSE208653:ADC_6,GSE173231:CX8,10154,1874,0,25.8,0.0,0.0
E-MTAB-12305:H1,GSE197461:ADC_5,7084,3562,0,34.2,0.0,0.0
E-MTAB-12305:H1,GSE173231:CX1,7084,1880,0,18.1,0.0,0.0
E-MTAB-12305:H1,GSE173231:CX2,7084,1775,0,17.1,0.0,0.0
E-MTAB-12305:H1,GSE173231:CX4,7084,4266,0,41.0,0.0,0.0
E-MTAB-12305:H1,GSE173231:CX6A,7084,1448,0,13.9,0.0,0.0
E-MTAB-12305:H1,GSE173231:CX7A,7084,2606,0,25.0,0.0,0.0
GSE208653:ADC_6,GSE197461:ADC_3,10154,3310,0,45.6,0.0,0.0
GSE208653:ADC_6,GSE197461:ADC_4,10154,4406,0,60.7,0.0,0.0
GSE208653:HSIL_2,GSE197461:SCC_1,7371,3428,0,34.3,0.0,0.0
GSE208653:ADC_6,GSE173231:CX1,10154,1880,0,25.9,0.0,0.0
GSE208653:ADC_6,GSE173231:CX2,10154,1775,0,24.4,0.0,0.0
GSE208653:ADC_6,GSE173231:CX3,10154,3211,0,44.2,0.0,0.0
GSE208653:ADC_6,GSE173231:CX4,10154,4266,0,58.8,0.0,0.0
GSE208653:ADC_6,GSE173231:CX6B,10154,1487,0,20.5,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX2,12732,1775,0,30.7,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX3,12732,3211,0,55.5,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX4,12732,4266,0,73.7,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX5,12732,3169,0,54.7,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX6A,12732,1448,0,25.0,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX6B,12732,1487,0,25.7,0.0,0.0
GSE208653:ADC_6,GSE197461:ADC_5,10154,3562,0,49.1,0.0,0.0
GSE208653:SCC_4,GSE173231:CX4,8979,4266,0,52.0,0.0,0.0
GSE208653:SCC_4,GSE173231:CX5,8979,3169,0,38.6,0.0,0.0
GSE208653:SCC_4,GSE173231:CX6A,8979,1448,0,17.6,0.0,0.0
GSE208653:SCC_4,GSE173231:CX6B,8979,1487,0,18.1,0.0,0.0
GSE208653:SCC_4,GSE173231:CX7B,8979,1710,0,20.8,0.0,0.0
GSE208653:SCC_4,GSE173231:CX8,8979,1874,0,22.8,0.0,0.0
E-MTAB-12305:L1,GSE197461:SCC_1,10283,3428,0,47.8,0.0,0.0
E-MTAB-12305:L1,GSE197461:ADC_1,10283,5753,0,80.2,0.0,0.0
E-MTAB-12305:T3,GSE173231:CX1,14248,1880,0,36.3,0.0,0.0
E-MTAB-12305:T4,GSE173231:CX1,10630,1880,0,27.1,0.0,0.0
E-MTAB-12305:T4,GSE173231:CX2,10630,1775,0,25.6,0.0,0.0
E-MTAB-12305:H2,GSE197461:ADC_2,13302,2049,0,37.0,0.0,0.0
E-MTAB-12305:T4,GSE173231:CX6B,10630,1487,0,21.4,0.0,0.0
E-MTAB-12305:T4,GSE173231:CX7B,10630,1710,0,24.7,0.0,0.0
E-MTAB-12305:T4,GSE173231:CX8,10630,1874,0,27.0,0.0,0.0
E-MTAB-12305:N1,GSE173231:CX7B,14764,1710,0,34.2,0.0,0.0
E-MTAB-12305:N1,GSE173231:CX8,14764,1874,0,37.5,0.0,0.0
E-MTAB-12305:T4,GSE197461:SCC_1,10630,3428,0,49.4,0.0,0.0
E-MTAB-12305:T4,GSE197461:ADC_3,10630,3310,0,47.7,0.0,0.0
E-MTAB-12305:N1,GSE173231:CX1,14764,1880,0,37.6,0.0,0.0
E-MTAB-12305:N1,GSE173231:CX3,14764,3211,0,64.3,0.0,0.0
E-MTAB-12305:N1,GSE173231:CX6A,14764,1448,0,29.0,0.0,0.0
E-MTAB-12305:N1,GSE173231:CX6B,14764,1487,0,29.8,0.0,0.0
E-MTAB-12305:H1,GSE173231:CX8,7084,1874,0,18.0,0.0,0.0
E-MTAB-12305:T4,GSE173231:CX4,10630,4266,0,61.5,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX7B,11619,1710,0,26.9,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX8,11619,1874,0,29.5,0.0,0.0
GSE208653:N_HPVneg_2,GSE197461:SCC_1,9203,3428,0,42.8,0.0,0.0
GSE208653:N_HPVneg_1,GSE197461:SCC_1,11619,3428,0,54.0,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX1,11619,1880,0,29.6,0.0,0.0
GSE208653:N_HPVneg_1,GSE173231:CX3,11619,3211,0,50.6,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX1,10283,1880,0,26.2,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX3,10283,3211,0,44.8,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX4,10283,4266,0,59.5,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX6A,10283,1448,0,20.2,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX6B,10283,1487,0,20.7,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX7A,10283,2606,0,36.3,0.0,0.0
E-MTAB-12305:L1,GSE173231:CX7B,10283,1710,0,23.8,0.0,0.0
E-MTAB-12305:T1,GSE173231:CX7A,12732,2606,0,45.0,0.0,0.0
E-MTAB-12305:T3,GSE173231:CX3,14248,3211,0,62.1,0.0,0.0
E-MTAB-12305:T3,GSE173231:CX5,14248,3169,0,61.2,0.0,0.0
E-MTAB-12305:T3,GSE173231:CX6A,14248,1448,0,28.0,0.0,0.0
E-MTAB-12305:T3,GSE173231:CX7B,14248,1710,0,33.0,0.0,0.0
E-MTAB-12305:L1,GSE197461:ADC_4,10283,4406,0,61.5,0.0,0.0
E-MTAB-12305:L1,GSE197461:ADC_5,10283,3562,0,49.7,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:SCC_2,7335,6914,0,68.8,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:SCC_3,7335,5970,0,59.4,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:ADC_1,7335,5753,0,57.2,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:ADC_2,7335,2049,0,20.4,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:ADC_3,7335,3310,0,32.9,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:ADC_4,7335,4406,0,43.8,0.0,0.0
GSE208653:N_HPVpos_2,GSE197461:ADC_5,7335,3562,0,35.4,0.0,0.0
E-MTAB-12305:T3,GSE173231:CX2,14248,1775,0,34.3,0.0,0.0
E-MTAB-12305:N2,GSE173231:CX2,13955,1775,0,33.6,0.0,0.0
