# Excluded records with reason (spec v1.0 section 2)
# run date: 2026-08-24
stage	pmid	doi	year	title	reason	basis
1_no_modality_term	25416927	10.1007/s00430-014-0366-x	2015	Influence of a probiotic Lactobacillus casei strain on the colonisation with potential pathogenic streptococci and Staphylococcus aureus in the nasopharyngeal s	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32075248	10.3390/microorganisms8020258	2020	Epstein-Barr Virus miR-BART17-5p Promotes Migration and Anchorage-Independent Growth by Targeting Kruppel-Like Factor 2 in Gastric Cancer.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	30535454	10.3892/ijo.2018.4651	2019	CD38 affects the biological behavior and energy metabolism of nasopharyngeal carcinoma cells.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36817460	10.3389/fimmu.2023.1103695	2023	GMP development and preclinical validation of CAR-T cells targeting a lytic EBV antigen for therapy of EBV-associated malignancies.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	22771496	10.1016/j.exphem.2012.07.004	2012	Natural killer cells can exert a graft-vs-tumor effect in haploidentical stem cell transplantation for pediatric solid tumors.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	34289863	10.1186/s13014-021-01861-y	2021	Correlation between the γ passing rates of IMRT plans and the volumes of air cavities and bony structures in head and neck cancer.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29482573	10.1186/s13000-018-0693-0	2018	Clinicopathological features and EBV infection status of lymphoma in children and adolescents in South China: a retrospective study of 662 cases.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	16538154	10.1097/01.rti.0000179472.46877.28	2006	CT of nasal-type T/NK cell lymphoma in the lung.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	29493822	10.1002/hed.25104	2018	Detailed analysis of inflammatory cell infiltration and the prognostic impact on nasopharyngeal carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	24427371	NOT_FOUND	2014	Nasopharyngeal alveolar rhabdomyosarcoma expressing CD56: a mimicker of extranodal natural killer/T-cell lymphoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	32194785	10.7150/jca.37282	2020	Epstein Barr Virus Associated Lymphomas and Epithelia Cancers in Humans.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	24999566	10.7417/ct.2014.1711	2014	Nasal type NK/T-cell lymphoma - diagnosis and treatment difficulties.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	31313887	10.1002/cyto.b.21838	2020	Comprehensive Flow-Cytometry-Based Immunophenotyping Analysis for Accurate Diagnosis and Management of Extranodal NK/T Cell Lymphoma, Nasal Type.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	19000729	10.1016/j.humimm.2008.10.008	2009	Association of MICA-129 polymorphism with nasopharyngeal cancer risk in a Tunisian population.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	28322119	10.1177/0194599817695808	2017	Epidemiology of Nasopharyngeal Lymphoma in the United States: A Population-Based Analysis of 1119 Cases.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
