dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D10	Decidua	Hofbauer	IGKC	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	LYZ	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	C1QA	1	1	1.0	1683.5016835016834	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	DCN	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	COL1A1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	IGFBP1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	HLA-G	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CSH1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	HBB	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CD3E	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CD3D	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	TRBC2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	TRAC	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ENTPD1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ITGAE	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ITGB2	1	1	1.0	561.1672278338946	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CD160	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	KLRB1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ITGA1	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	CD9	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	EOMES	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	TBX21	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	MKI67	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	PTN	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	OGN	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	SPP1	1	1	1.0	52749.719416386084	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	VEGFA	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	PGF	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	IGF2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ITGAD	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ANGPT2	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	ANG	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Hofbauer	IL10	1	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL2	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL3	7	4	0.5714285714285714	400.8337341670676	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL4	7	4	0.5714285714285714	400.8337341670676	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL5	7	2	0.2857142857142857	240.50024050024052	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL20	7	1	0.14285714285714285	160.33349366682702	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	XCL1	7	3	0.42857142857142855	561.1672278338946	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	XCL2	7	4	0.5714285714285714	1603.33493666827	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCL8	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCL10	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCL12	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCL16	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL1	7	0	0.0	0.0	1782	1.0	below_min_cells
