dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D7	Blood	pbNK_CD56dim	2093	103	47	0.4563106796116505
VT2018	D7	Decidua	Endothelial	2093	335	335	1.0
VT2018	D7	Decidua	Epithelial	2093	95	95	1.0
VT2018	D7	Decidua	Granulocyte	2093	2	2	1.0
VT2018	D7	Decidua	ILC3	2093	15	15	1.0
VT2018	D7	Decidua	Myeloid	2093	100	96	0.96
VT2018	D7	Decidua	Perivascular	2093	140	140	1.0
VT2018	D7	Decidua	Plasma	2093	1	1	1.0
VT2018	D7	Decidua	Stromal	2093	5399	5399	1.0
VT2018	D7	Decidua	T	2093	15	15	1.0
VT2018	D7	Decidua	Trophoblast	2093	26	26	1.0
VT2018	D7	Decidua	cDC1	2093	27	27	1.0
VT2018	D7	Decidua	dNK1	2093	71	60	0.8450704225352113
VT2018	D7	Decidua	dNK2	2093	86	86	1.0
VT2018	D7	Decidua	dNK3	2093	67	67	1.0
VT2018	D7	Decidua	dNKp	2093	11	11	1.0
VT2018	D7	Decidua	pbNK_CD56dim	2093	6	6	1.0
VT2018	D8	Blood	Granulocyte	2093	25	25	1.0
VT2018	D8	Blood	Myeloid	2093	164	154	0.9390243902439024
VT2018	D8	Blood	Plasma	2093	43	42	0.9767441860465116
VT2018	D8	Blood	T	2093	1137	1119	0.9841688654353562
VT2018	D8	Blood	cDC1	2093	1	1	1.0
VT2018	D8	Blood	dNKp	2093	1	1	1.0
VT2018	D8	Blood	pbNK_CD56bright	2093	65	62	0.9538461538461539
VT2018	D8	Blood	pbNK_CD56dim	2093	337	268	0.7952522255192879
VT2018	D8	Decidua	Endothelial	2093	33	33	1.0
VT2018	D8	Decidua	Epithelial	2093	19	19	1.0
VT2018	D8	Decidua	Granulocyte	2093	11	10	0.9090909090909091
VT2018	D8	Decidua	ILC3	2093	20	13	0.65
VT2018	D8	Decidua	Myeloid	2093	2234	1665	0.7452999104744852
VT2018	D8	Decidua	Perivascular	2093	84	84	1.0
VT2018	D8	Decidua	Plasma	2093	16	9	0.5625
VT2018	D8	Decidua	Stromal	2093	3038	3033	0.9983541803818301
VT2018	D8	Decidua	T	2093	107	70	0.6542056074766355
VT2018	D8	Decidua	Trophoblast	2093	7	7	1.0
VT2018	D8	Decidua	cDC1	2093	116	113	0.9741379310344828
VT2018	D8	Decidua	dNK1	2093	1236	1051	0.8503236245954693
VT2018	D8	Decidua	dNK2	2093	519	423	0.815028901734104
VT2018	D8	Decidua	dNK3	2093	172	79	0.45930232558139533
VT2018	D8	Decidua	dNKp	2093	201	197	0.9800995024875622
VT2018	D8	Decidua	pbNK_CD56bright	2093	1	1	1.0
VT2018	D8	Decidua	pbNK_CD56dim	2093	14	8	0.5714285714285714
VT2018	D8	Placenta	Endothelial	2093	14	14	1.0
VT2018	D8	Placenta	Granulocyte	2093	2	2	1.0
VT2018	D8	Placenta	Hofbauer	2093	170	170	1.0
VT2018	D8	Placenta	Myeloid	2093	253	253	1.0
VT2018	D8	Placenta	Plasma	2093	1	1	1.0
VT2018	D8	Placenta	Stromal	2093	989	989	1.0
VT2018	D8	Placenta	T	2093	1	1	1.0
VT2018	D8	Placenta	Trophoblast	2093	3219	3219	1.0
VT2018	D8	Placenta	dNKp	2093	1	1	1.0
VT2018	D8	Placenta	pbNK_CD56dim	2093	2	2	1.0
