dataset_id	donor	compartment	celltype_raw	subset	n_cells_pre_qc	n_cells_post_qc	frac_cells_kept_qc	median_umi	median_genes	median_mito_frac	min_genes_threshold	max_mito_threshold
VT2018	D8	Decidua	dS2	Stromal	1583	1583	1.0	13099.0	2958.0	0.0	200	0.1
VT2018	D8	Decidua	dS3	Stromal	70	70	1.0	5137.5	1544.0	0.0	200	0.1
VT2018	D8	Placenta	DC2	Myeloid	4	4	1.0	5254.5	1749.0	0.0	200	0.1
VT2018	D8	Placenta	EVT	Trophoblast	58	58	1.0	14059.5	3261.5	0.0	200	0.1
VT2018	D8	Placenta	Endo (f)	Endothelial	12	12	1.0	4773.5	1997.5	0.0	200	0.1
VT2018	D8	Placenta	Endo (m)	Endothelial	2	2	1.0	5526.0	2109.0	0.0	200	0.1
VT2018	D8	Placenta	Granulocytes	Granulocyte	2	2	1.0	4404.0	1590.0	0.0	200	0.1
VT2018	D8	Placenta	HB	Hofbauer	170	170	1.0	5059.0	1856.0	0.0	200	0.1
VT2018	D8	Placenta	MO	Myeloid	5	5	1.0	3534.0	1349.0	0.0	200	0.1
VT2018	D8	Placenta	NK CD16+	pbNK_CD56dim	2	2	1.0	5754.0	2433.5	0.0	200	0.1
VT2018	D8	Placenta	Plasma	Plasma	1	1	1.0	3391.0	1311.0	0.0	200	0.1
VT2018	D8	Placenta	SCT	Trophoblast	578	578	1.0	8008.5	2432.5	0.0	200	0.1
VT2018	D8	Placenta	Tcells	T	2	2	1.0	5347.0	1958.5	0.0	200	0.1
VT2018	D8	Placenta	VCT	Trophoblast	2585	2585	1.0	8682.0	2843.0	0.0	200	0.1
VT2018	D8	Placenta	dM1	Myeloid	21	21	1.0	5564.0	1667.0	0.0	200	0.1
VT2018	D8	Placenta	dM2	Myeloid	3	3	1.0	4361.0	1795.0	0.0	200	0.1
VT2018	D8	Placenta	dM3	Myeloid	220	220	1.0	10017.5	2617.5	0.0	200	0.1
VT2018	D8	Placenta	dNK p	dNKp	1	1	1.0	7502.0	2262.0	0.0	200	0.1
VT2018	D8	Placenta	fFB1	Stromal	990	990	1.0	5209.5	1995.0	0.0	200	0.1
VT2018	D9	Blood	DC1	cDC1	9	9	1.0	16985.0	3065.0	0.0	200	0.1
VT2018	D9	Blood	DC2	Myeloid	145	145	1.0	13984.0	2857.0	0.0	200	0.1
VT2018	D9	Blood	Granulocytes	Granulocyte	58	58	1.0	15438.0	3068.5	0.0	200	0.1
VT2018	D9	Blood	MO	Myeloid	333	333	1.0	5088.0	1551.0	0.0	200	0.1
VT2018	D9	Blood	NK CD16+	pbNK_CD56dim	325	325	1.0	3267.0	1296.0	0.0	200	0.1
VT2018	D9	Blood	NK CD16-	pbNK_CD56bright	125	125	1.0	4339.0	1386.0	0.0	200	0.1
VT2018	D9	Blood	Plasma	Plasma	94	94	1.0	7828.0	2129.0	0.0	200	0.1
VT2018	D9	Blood	Tcells	T	1912	1912	1.0	5200.5	1327.0	0.0	200	0.1
VT2018	D9	Blood	dNK p	dNKp	1	1	1.0	14475.0	3366.0	0.0	200	0.1
VT2018	D9	Blood	dNK2	dNK2	1	1	1.0	8565.0	2368.0	0.0	200	0.1
VT2018	D9	Blood	dS1	Stromal	1	1	1.0	13329.0	3097.0	0.0	200	0.1
VT2018	D9	Decidua	DC1	cDC1	44	44	1.0	10574.5	2124.5	0.0	200	0.1
VT2018	D9	Decidua	DC2	Myeloid	2	2	1.0	7118.0	1660.0	0.0	200	0.1
VT2018	D9	Decidua	EVT	Trophoblast	37	37	1.0	5256.0	1412.0	0.0	200	0.1
VT2018	D9	Decidua	Endo (f)	Endothelial	7	7	1.0	7710.0	2439.0	0.0	200	0.1
VT2018	D9	Decidua	Endo (m)	Endothelial	191	191	1.0	6526.0	2158.0	0.0	200	0.1
VT2018	D9	Decidua	Endo L	Endothelial	68	68	1.0	7601.5	2479.0	0.0	200	0.1
VT2018	D9	Decidua	Epi1	Epithelial	124	124	1.0	4929.0	1684.5	0.0	200	0.1
VT2018	D9	Decidua	Epi2	Epithelial	12	12	1.0	6741.0	2155.5	0.0	200	0.1
VT2018	D9	Decidua	Granulocytes	Granulocyte	27	27	1.0	5017.0	1539.0	0.0	200	0.1
VT2018	D9	Decidua	ILC3	ILC3	54	54	1.0	4297.5	1449.5	0.0	200	0.1
VT2018	D9	Decidua	MO	Myeloid	17	17	1.0	6180.0	1718.0	0.0	200	0.1
VT2018	D9	Decidua	NK CD16+	pbNK_CD56dim	27	27	1.0	2978.0	1183.0	0.0	200	0.1
VT2018	D9	Decidua	NK CD16-	pbNK_CD56bright	7	7	1.0	3673.0	1221.0	0.0	200	0.1
VT2018	D9	Decidua	Plasma	Plasma	60	60	1.0	3245.0	951.5	0.0	200	0.1
VT2018	D9	Decidua	SCT	Trophoblast	7	7	1.0	6883.0	2318.0	0.0	200	0.1
VT2018	D9	Decidua	Tcells	T	666	666	1.0	4013.5	1273.0	0.0	200	0.1
VT2018	D9	Decidua	VCT	Trophoblast	22	22	1.0	8171.5	2546.0	0.0	200	0.1
