gene	col	lineage	class	lineage_cpm	ambient_cpm	nk_cpm	soup_fraction	saturated	dataset_id	compartment
LEFTY2	8308	Stromal	non_haematopoietic	189.20585128513238	109.48424093581278	0.34462881856485117	1.0	True	VT2018	Decidua
RORB	16991	Stromal	non_haematopoietic	150.36597504213697	89.04005906238255	2.4296331708822008	1.0	True	VT2018	Decidua
PDGFRA	6837	Stromal	non_haematopoietic	138.6574148996675	81.23231576999908	0.7064890780579449	1.0	True	VT2018	Decidua
WT1	15171	Stromal	non_haematopoietic	119.76218063148286	70.14457637817345	0.7754148417709151	1.0	True	VT2018	Decidua
RP1-78O14.1	25772	Stromal	non_haematopoietic	100.12410720018083	58.64091995518146	0.8271091645556428	1.0	True	VT2018	Decidua
RP11-887P2.5	25879	Stromal	non_haematopoietic	91.62862121563978	53.32867884979626	0.32739737763660864	1.0	True	VT2018	Decidua
CD3D	11812	T	haematopoietic	897.3549407566695	40.800446325638305	73.44040123616979	0.05496644295954833	False	VT2018	Decidua
CD3G	10303	T	haematopoietic	281.52573856079556	8.257474716327593	2.6019475801646266	0.31399047232503735	False	VT2018	Decidua
IFNG	3854	T	haematopoietic	252.79862238112253	12.930623798213233	28.29402600417428	0.04521603627839753	False	VT2018	Decidua
CD8B	12915	T	haematopoietic	141.49774899662197	5.281808151885217	2.343475966240988	0.22299230616035542	False	VT2018	Decidua
CD6	340	T	haematopoietic	110.63280091520583	4.1726960687748775	5.031580751046827	0.08205027973676067	False	VT2018	Decidua
TRAT1	10814	T	haematopoietic	109.83111395205216	3.966428272830576	4.032157177208759	0.09732623257808085	False	VT2018	Decidua
CTLA4	10840	T	haematopoietic	80.56953979694339	2.481976429887163	1.1545065421922514	0.21270074693897334	False	VT2018	Decidua
CD5	3733	T	haematopoietic	72.95351364698355	2.356863176609473	1.3785152742594047	0.16915722379603404	False	VT2018	Decidua
SIRPG	1790	T	haematopoietic	69.21230781893311	2.732202936442545	3.7736855632851203	0.07163330743090504	False	VT2018	Decidua
BCL11B	5794	T	haematopoietic	64.00134255843429	2.5394608976093456	2.6019475801646266	0.09656299947424365	False	VT2018	Decidua
LINC00861	22995	T	haematopoietic	61.462667175114355	3.4456866240531605	7.788611299565637	0.04377070150154484	False	VT2018	Decidua
FN1	4369	Trophoblast	non_haematopoietic	15568.427683040794	392.82180089917136	15.921851417696123	1.0	True	VT2018	Decidua
CSH1	7147	Trophoblast	non_haematopoietic	13407.556365374996	263.91795419109434	6.754724843871083	1.0	True	VT2018	Decidua
SERPINE2	7039	Trophoblast	non_haematopoietic	8626.865993287638	196.65098263830774	57.10499523619584	0.3407138449924508	False	VT2018	Decidua
HLA-G	17316	Trophoblast	non_haematopoietic	4877.483965593347	97.87914133448751	9.684069801672319	1.0	True	VT2018	Decidua
KRT8	12525	Trophoblast	non_haematopoietic	4813.928926838471	101.96391998204022	4.187240145562942	1.0	True	VT2018	Decidua
NOTUM	15254	Trophoblast	non_haematopoietic	4413.970493294852	83.75148803194178	1.6542183291112855	1.0	True	VT2018	Decidua
QSOX1	4504	Trophoblast	non_haematopoietic	3614.0536262076143	103.15756804709495	50.470890478822454	0.2022217610701714	False	VT2018	Decidua
ISM2	2325	Trophoblast	non_haematopoietic	3474.7073774433306	66.43175605117604	1.9816157067478943	1.0	True	VT2018	Decidua
CGA	6922	Trophoblast	non_haematopoietic	3111.8227165067233	65.67093221367658	1.171737983120494	1.0	True	VT2018	Decidua
FLT1	2667	Trophoblast	non_haematopoietic	2826.007671531488	60.48718580084684	1.878227061178439	1.0	True	VT2018	Decidua
FSTL3	1101	Trophoblast	non_haematopoietic	2748.2075378832774	76.64032123078005	3.1878165717248734	1.0	True	VT2018	Decidua
PRG2	15559	Trophoblast	non_haematopoietic	2403.220560274193	48.00629342657774	2.2056244388150477	1.0	True	VT2018	Decidua
CPVL	3213	cDC1	haematopoietic	1835.7792539875065	41.66271334147104	9.42559818774868	0.4373270987734711	False	VT2018	Decidua
S100B	10265	cDC1	haematopoietic	701.1773084965955	12.937386676768783	11.83799991770264	0.10812745632559187	False	VT2018	Decidua
DNASE1L3	10878	cDC1	haematopoietic	638.5901215329376	9.261762181826896	1.7920698565372262	0.5113360953287024	False	VT2018	Decidua
CLEC9A	16674	cDC1	haematopoietic	463.88150337769997	5.126261945107547	1.206200864976979	0.42048346181559754	False	VT2018	Decidua
BATF3	5338	cDC1	haematopoietic	219.8918814712474	5.789024043551531	1.0338864556945535	0.5539878854879201	False	VT2018	Decidua
WDFY4	5968	cDC1	haematopoietic	198.47166775106498	3.3848207170532025	1.2406637468334643	0.2699288713850312	False	VT2018	Decidua
XCR1	13205	cDC1	haematopoietic	136.8885533055406	1.853028724220934	0.3790917004213363	0.48362153979510447	False	VT2018	Decidua
RP11-798K3.3	26301	cDC1	haematopoietic	67.27285871494783	0.7709681553327974	0.18954585021066814	0.4024296024572402	False	VT2018	Decidua
