dataset_id	comparison_id	gene	observed_diff_pp	null_mean_diff_pp	null_sd_diff_pp	n_null_genes	null_set_is_expression_matched	empirical_p	empirical_p_resolution_floor	empirical_p_at_resolution_floor	empirical_z	q_bh_empirical	q_bh_empirical_per_comparison
VT2018	A_decidua_dNK1_vs_dNK3	CCL4L2	11.33329221433201	0.3706982518624266	5.140253258264697	399	False	0.0625	0.0025	False	2.132695299563986	0.3905357142857143	0.32625
VT2018	A_decidua_dNK1_vs_dNK3	PPBP	-0.016420361247946	0.3706982518624266	5.140253258264697	399	False	0.69	0.0025	False	-0.07531119453850807	0.8691923076923077	0.8188043478260869
VT2018	A_decidua_dNK1_vs_dNK3	CCR1	1.661485219338808	0.3706982518624266	5.140253258264697	399	False	0.355	0.0025	False	0.25111349628561674	0.7016860465116279	0.5916176470588235
VT2018	A_decidua_dNK1_vs_dNK3	CCR2	0.3771358394124059	0.3706982518624266	5.140253258264697	399	False	0.99	0.0025	False	0.0012523872320159917	0.99	0.99
VT2018	A_decidua_dNK1_vs_dNK3	CCR5	1.24873808101189	0.3706982518624266	5.140253258264697	399	False	0.4325	0.0025	False	0.17081645300992068	0.7629910714285714	0.64875
VT2018	A_decidua_dNK1_vs_dNK3	CCR9	1.134865681025364	0.3706982518624266	5.140253258264697	399	False	0.4675	0.0025	False	0.14866338111537197	0.7629910714285714	0.664342105263158
VT2018	A_decidua_dNK1_vs_dNK3	CXCR3	3.461064308257068	0.3706982518624266	5.140253258264697	399	False	0.21	0.0025	False	0.6012089095855018	0.57375	0.54
VT2018	A_decidua_dNK1_vs_dNK3	CXCR4	57.8888515094416	0.3706982518624266	5.140253258264697	399	False	0.0025	0.0025	True	11.189750848384614	0.03375	0.03375
VT2018	A_decidua_dNK1_vs_dNK3	CXCR6	2.6318257958354776	0.3706982518624266	5.140253258264697	399	False	0.25	0.0025	False	0.4398864083861088	0.6017142857142858	0.54
VT2018	A_decidua_dNK1_vs_dNK3	CX3CR1	0.0151050664117479	0.3706982518624266	5.140253258264697	399	False	0.7625	0.0025	False	-0.06917814504157792	0.8951086956521739	0.8234999999999999
VT2018	A_decidua_dNK1_vs_dNK3	S1PR1	-0.786477396478658	0.3706982518624266	5.140253258264697	399	False	0.3725	0.0025	False	-0.22512035695527902	0.7016860465116279	0.5916176470588235
VT2018	A_decidua_dNK1_vs_dNK3	S1PR5	1.51373514164593	0.3706982518624266	5.140253258264697	399	False	0.3725	0.0025	False	0.22236976124584612	0.7016860465116279	0.5916176470588235
VT2018	A_decidua_dNK1_vs_dNK3	SELL	2.530139977558436	0.3706982518624266	5.140253258264697	399	False	0.26	0.0025	False	0.4201041499704273	0.6017142857142858	0.54
VT2018	A_decidua_dNK1_vs_dNK3	ACKR2	-0.0141756032478059	0.3706982518624266	5.140253258264697	399	False	0.6975	0.0025	False	-0.07487449270936554	0.8691923076923077	0.8188043478260869
VT2018	A_decidua_dNK1_vs_dNK3	XCR1	0.2910492329830319	0.3706982518624266	5.140253258264697	399	False	0.9375	0.0025	False	-0.01549515459210729		
VT2018	A_decidua_dNK1_vs_dNK3	PTN	-0.11436030027616	0.3706982518624266	5.140253258264697	399	False	0.5925	0.0025	False	-0.09436471857854295		
VT2018	A_decidua_dNK1_vs_dNK3	OGN	-0.341503175164782	0.3706982518624266	5.140253258264697	399	False	0.4875	0.0025	False	-0.13855376208985495		
VT2018	A_decidua_dNK1_vs_dNK3	SPP1	3.2749162728096977	0.3706982518624266	5.140253258264697	399	False	0.2225	0.0025	False	0.5649951228137947		
VT2018	A_decidua_dNK1_vs_dNK3	VEGFA	0.444090119477248	0.3706982518624266	5.140253258264697	399	False	0.945	0.0025	False	0.014277869966196538		
VT2018	A_decidua_dNK1_vs_dNK3	PGF	-0.2572788933373979	0.3706982518624266	5.140253258264697	399	False	0.52	0.0025	False	-0.12216852237584572		
VT2018	A_decidua_dNK1_vs_dNK3	IGF2	-0.5739617598458702	0.3706982518624266	5.140253258264697	399	False	0.4125	0.0025	False	-0.1837769394318142		
VT2018	A_decidua_dNK1_vs_dNK3	ITGAD	-28.629402688896025	0.3706982518624266	5.140253258264697	399	False	0.005	0.0025	False	-5.641765003335385		
VT2018	A_decidua_dNK1_vs_dNK3	ANGPT2	1.4446690718888735	0.3706982518624266	5.140253258264697	399	False	0.39	0.0025	False	0.20893344472855985		
VT2018	A_decidua_dNK1_vs_dNK3	ANG	-0.361601999475382	0.3706982518624266	5.140253258264697	399	False	0.4825	0.0025	False	-0.14246384653526323		
VT2018	A_decidua_dNK1_vs_dNK3	IL10	0.2865416193760099	0.3706982518624266	5.140253258264697	399	False	0.9375	0.0025	False	-0.016372079012081053		
VT2018	A_decidua_dNK2_vs_dNK3	CCL2	-0.3634013836205941	0.08867067698545612	3.7828479272394997	399	False	0.505	0.0025	False	-0.11950574522194601	0.7629910714285714	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	CCL3	10.146406564441149	0.08867067698545612	3.7828479272394997	399	False	0.0425	0.0025	False	2.6587735169135485	0.34425000000000006	0.38250000000000006
