batch,condition,lineage,n_cells,n_empty_droplets,total_counts,rho,removed_frac,val_before,val_after,est_before,est_after
92,Normal,NK,398,513574,768223.0,0.27876437629348705,0.2698098519147534,0.00019004898317285477,0.0,0.04194355024517621,0.002188735893380458
92,Normal,CD8T,492,513574,1156046.0,0.20405719646811651,0.19851752009556378,0.00023441973762289737,0.0,0.03070293050622553,0.0018783620908234555
92,Normal,CD4T,1300,513574,3605511.0,0.16165347534937155,0.1579656376950671,0.000193592530989366,0.0,0.024322765899202636,0.0008984955156979964
92,Normal,B,540,513574,3644461.0,0.14775265520637476,0.14700583327268435,0.00016600534345133616,0.0,7.408502930886076e-05,3.0176620098187624e-06
92,Normal,Myeloid,1155,513574,5556669.0,0.160851437752858,0.15822510297048864,0.0031081570631614013,0.0,0.024202089417238996,0.00044994965682038074
244,Normal,NK,87,154753,245527.0,0.0,0.0,0.00013033189832482782,0.00013033189832482782,0.0,0.0
244,Normal,CD8T,321,154753,1251096.0,0.007242230657320952,0.006997722461461908,2.2380376885546754e-05,1.6150568373424714e-05,7.992991744838126e-07,1.9474158006541058e-07
244,Normal,CD4T,675,154753,2621407.0,1.0,0.713727475661111,1.02998122763844e-05,0.0,0.00016899321623845516,0.00022477616265537766
244,Normal,B,849,154753,3923968.0,0.2762430999710095,0.2722162441146093,0.00012563812956680584,0.0,0.00010474091531837161,1.7636457105640786e-05
244,Normal,Myeloid,1078,154753,7713159.0,0.01174710103402719,0.01170469340646596,1.1668370897060466e-06,9.013612687957312e-07,1.2964856552289407e-06,2.073554092534781e-07
245,Tumor,NK,129,193704,283004.0,0.44566274173710757,0.39414650913774196,0.00024027928933866659,6.957692761756615e-05,0.002798547017003293,0.0027607926567703306
245,Tumor,CD8T,587,193704,2190137.0,0.4413581280570911,0.36042942242267006,9.360145050286808e-05,0.0,0.00277151611976785,0.0006690826325148677
245,Tumor,CD4T,864,193704,3485170.0,0.16280418907236444,0.15185885659221177,0.0001684279389527627,1.0014482615612145e-05,0.0010223317657388304,0.00020178129048440397
245,Tumor,B,1184,193704,10607923.0,0.5770845771772357,0.46738450811430177,0.00017213548778587475,2.3894764020534334e-05,0.0001619544184097113,1.7627770494166725e-05
245,Tumor,Myeloid,1870,193704,14537674.0,0.3288874834046606,0.31287189412217964,0.0001805653366556438,0.0,0.0020652547305710666,0.0002743102870951911
292,Tumor,NK,266,237900,364880.0,0.5094719091494424,0.46808940192010007,4.659065994299496e-05,0.0,0.10775049331286998,0.014700615000256795
292,Tumor,CD8T,225,237900,480243.0,0.03867331600812664,0.03804878537225831,5.413925866696651e-05,3.847541378061602e-06,0.008179192617070941,7.351462783196665e-05
292,Tumor,CD4T,614,237900,1666463.0,0.03170399329642449,0.031029759788262168,5.2206379619589515e-05,7.153746431389043e-06,0.006705219377807968,5.2242744276578904e-05
292,Tumor,B,1103,237900,10533460.0,0.21492179853739227,0.20710434803508604,2.5442732017779534e-05,0.0,9.180269351191346e-05,3.743740946793536e-05
292,Tumor,Myeloid,661,237900,3507291.0,0.14995834350839135,0.14103400752914286,0.0016836356036610592,0.0,0.03171536094381675,0.0038366492180775817
293,Normal,NK,379,281124,858250.0,0.02422435793885355,0.023994122885890534,0.00010952519662103116,4.029990393450024e-05,9.321293329449461e-05,1.959228381949304e-05
293,Normal,CD8T,150,281124,318754.0,0.02853569806322968,0.027932588898047395,0.00010039089705540951,1.742199968746469e-05,0.00010980254365435414,1.2482093522387961e-05
293,Normal,CD4T,543,281124,1400947.0,0.024486590914349182,0.024227367955852452,7.209409064011701e-05,1.2011588655624055e-06,9.422197984648955e-05,2.2625482152486232e-05
293,Normal,B,365,281124,835092.0,0.3669861994412636,0.33401372565423815,0.00047659419560958555,0.0,0.00022033500500543652,1.9311511024363252e-05
293,Normal,Myeloid,1292,281124,11276091.0,0.023554203552724435,0.02349151142437733,1.3302482216576649e-06,0.0,9.063424550227557e-05,8.373154633959177e-06
307,Normal,NK,190,267282,272611.0,0.7373349102575341,0.6162525510259147,0.00030079490556140435,0.0,0.0066541702279071645,0.0032288580530456528
307,Normal,CD8T,622,267282,918687.0,0.05307084413389712,0.05160498267070435,0.00012409014169134864,3.439902439030049e-05,0.00047894440652801224,3.4887952947040496e-06
307,Normal,CD4T,744,267282,1259561.0,0.20884899967023926,0.19492823235871737,0.00012623445787857834,0.0,0.0018847836666902199,0.0003894687667126516
307,Normal,B,473,267282,1206633.0,0.8054108881495265,0.6357828562602623,0.0006737757047917635,0.0,0.000497251442650748,0.00012884124857976694
307,Normal,Myeloid,2319,267282,19307397.0,0.03721261325247128,0.03642096679225837,4.423175221393127e-05,1.0668370743389526e-06,0.0003358298376523775,1.3777252502529452e-05
93,Tumor,NK,281,496083,452925.0,0.5718885804782434,0.5472762109207527,0.000229618590274328,0.0,0.07864436716895733,0.010865469763197315
93,Tumor,CD8T,395,496083,912984.0,0.284729447323661,0.2747648765212437,0.00016977296425786214,0.0,0.03915512210509713,0.0006964478989367568
93,Tumor,CD4T,638,496083,1813809.0,0.15085627693541578,0.1465143218703071,0.00017035972365337255,3.5473894527019027e-06,0.020745293468055346,0.0009092698222156314
93,Tumor,B,1492,496083,20085648.0,0.07850242195813349,0.07829785020598568,9.718382000919264e-05,0.0,4.0327302360371944e-05,7.693948688105203e-06
93,Tumor,Myeloid,1341,496083,5784847.0,0.17846564496678669,0.17559769876815812,0.004885695334725361,0.0008211910421670329,0.02454204925385235,0.001741219574866847
93,Normal,NK,371,496083,728598.0,0.2340945295533142,0.22973141226208338,0.00020587484456449236,0.0,0.032191963195067785,0.003206540591479208
93,Normal,CD8T,359,496083,879732.0,0.16240135857504134,0.1577600015274322,0.00014436214665375363,0.0,0.022332937758317305,0.0013021670215758192
93,Normal,CD4T,1422,496083,3902884.0,0.14548939413855055,0.1421550911433821,0.00013656567809855482,0.0,0.020007256172614916,0.0009017671933136997
93,Normal,B,453,496083,3641834.0,0.10957654410981,0.10901666537797872,0.00011203146546492783,0.0,5.6290319657623055e-05,5.065917256438868e-06
93,Normal,Myeloid,1083,496083,5520624.0,0.18678064216731663,0.18027093665475225,0.00234430020954153,0.0,0.025685502218589784,0.0013163141605691592
308,Tumor,NK,137,267350,220646.0,1.0,0.8004279566542802,0.000507600409706045,0.0,0.03334300191256583,0.038091661098552144
308,Tumor,CD8T,472,267350,911712.0,0.0997939676371597,0.09566057819420626,0.00014587940051244254,2.9329493537813588e-06,0.002568793654136394,0.00044526725827887204
308,Tumor,CD4T,1766,267350,3869841.0,0.0762748281358745,0.07388922830232714,0.0001338556286937887,0.0,0.001963388159875302,9.217369496248132e-05
308,Tumor,B,776,267350,3211078.0,0.10953485693127148,0.10621706262075681,0.00011896316439525916,0.0,6.072726978292025e-05,6.215115506564306e-06
308,Tumor,Myeloid,1977,267350,13491041.0,0.12449013425171655,0.12018247531104143,0.0001936840900565049,0.0,0.003204496969507394,0.0001449940794471629
309,Tumor,NK,354,837795,888346.0,0.024384201894733563,0.024083169616136546,0.00029267875354872986,0.00025920740688135507,0.0005043080061147346,6.34800510156831e-06
309,Tumor,CD8T,863,837795,3128079.0,0.01071194180508588,0.010615556049346053,4.2837792779530184e-05,2.566398363604776e-05,0.00022154171937473446,1.4149302078648694e-05
309,Tumor,CD4T,2122,837795,8339597.0,0.020698355145251025,0.020422728002424506,2.8538549284815562e-05,1.7913221826751379e-06,0.0004280782392722334,6.178545970757138e-06
309,Tumor,B,1336,837795,5753879.0,0.19745627467573768,0.18987104149450096,9.871601401419807e-05,0.0,0.00013417035707563542,2.0990092317942042e-05
309,Tumor,Myeloid,2136,837795,26320262.0,0.07146332850033521,0.0705944437208309,4.737794783349801e-05,0.0,0.001477986807274183,6.494398520574354e-05
342,Tumor,NK,141,434981,282486.0,0.5715204728259412,0.5243590285361299,0.00016283992835043154,0.0,0.014637893559326834,0.00843813284906574
342,Tumor,CD8T,359,434981,757203.0,0.1091595506919901,0.1059816530447727,0.0001452714793787135,0.0,0.002795815653133968,0.00013088048475264993
342,Tumor,CD4T,650,434981,1674673.0,0.0940733756063209,0.0916853874797463,0.00010987219594511884,1.1844703442069577e-06,0.002409425601296492,0.0001331208207386759
342,Tumor,B,1037,434981,4496806.0,0.13228683856823556,0.12903662257069615,0.00010985575094856216,0.0,9.940388800406333e-05,3.844148113304125e-05
342,Tumor,Myeloid,1067,434981,7208208.0,0.2336987398087144,0.22779633981916125,0.0011278808824606616,0.0,0.005985537598249107,0.0007546603563334793
342,Normal,NK,198,434981,331608.0,0.2261807151466056,0.2161755526351501,0.00012967117801741815,0.0,0.005792984487708378,0.0014074963737907842
342,Normal,CD8T,399,434981,759485.0,0.1159259204009961,0.1125472379493927,0.00015010171366123097,6.0252440641544735e-06,0.002969117230755051,0.00015491846576468237
342,Normal,CD4T,584,434981,1315120.0,0.10708631330053636,0.10406797419814406,0.0001277449966542977,4.283947004415354e-07,0.0027427154936431656,0.00013283467288656832
342,Normal,B,210,434981,743604.0,0.13243515030318995,0.12909859608813368,0.00013044577490169498,0.0,9.951533343015906e-05,1.6181787456543887e-05
342,Normal,Myeloid,958,434981,4954121.0,0.08550988766402517,0.08394617415011718,0.00032094492645617657,0.0,0.0021900958817921484,0.00016666247282776328
343,Tumor,NK,157,441006,277761.0,0.4637354153452712,0.4436720650493662,0.00018001087265670846,0.0,0.008791731020553641,0.004963529145026026
343,Tumor,CD8T,415,441006,927506.0,0.11186223796003382,0.10974019118983824,0.00020269410656103572,0.0,0.0021207409979019003,0.00013552676671721778
343,Tumor,CD4T,678,441006,1837762.0,0.09571994547933423,0.09384119034460792,0.00013821158561337104,6.136311468303493e-06,0.001814707236301545,0.0001280739827243307
343,Tumor,B,1167,441006,4670763.0,0.11609864628760787,0.11461426143494102,0.00014387370971295267,0.0,8.885057965904072e-05,2.5851595743566966e-05
343,Tumor,Myeloid,1030,441006,7193854.0,0.08330111448645362,0.08237425694676526,0.0017002013107299647,0.0013192110485511642,0.0015792647446000432,0.00021153153438102477
343,Normal,NK,215,441006,362221.0,0.1508627436660383,0.1481159259984961,0.00035613617101161997,0.00011395192167314219,0.0028601323501398317,0.0003197075806449793
343,Normal,CD8T,409,441006,879234.0,0.11224452983749408,0.11010842735913362,0.00016377892574672955,4.419665246563116e-06,0.002127988681056465,0.00013821705883402405
