gene,p_green,p_red,drop_ratio,null_drop,resid,n_pos_green,resid_pct
Gpatch2,0.203559510567297,0.1576777739608382,0.22539716507763083,0.12585792349726768,0.09953924158036315,915,0.8362245447688826
Kctd3,0.06918798665183537,0.05376159395396771,0.22296345716049887,0.149967845659164,0.07299561150133488,311,0.7627410839349208
Smyd2,0.1003337041156841,0.1016832703538303,-0.01345077658640178,0.12274944567627476,-0.13620022226267653,451,0.09826527313867041
Rps6kc1,0.07030033370411569,0.06784610099622122,0.03491068361387856,0.14632911392405074,-0.11141843031017218,316,0.12380131451352225
Angel2,0.3232480533926585,0.28753005839917556,0.11049716964604667,0.12305574673090153,-0.01255857708485486,1453,0.4123478073483461
Flvcr1,0.11301446051167964,0.08828581243558914,0.21880959272052522,0.1382677165354332,0.08054187618509201,508,0.786768667169486
Tatdn3,0.05628476084538376,0.056338028169014086,-0.0009463898012581742,0.14956521739130418,-0.15051160719256235,253,0.08501239090615235
D730003I15Rik,0.05828698553948832,0.0456887667468224,0.2161411964619592,0.15160305343511454,0.06453814302684466,262,0.7347268613295981
Nenf,0.18776418242491658,0.20233596702164205,-0.07760683858090169,0.13094786729857816,-0.20855470587947983,844,0.05290378192005172
Pacc1,0.08409343715239155,0.09189282033665407,-0.09274663336841271,0.13724867724867756,-0.22999531061709028,378,0.04762417842904859
Ppp2r5a,0.6102335928809789,0.5152868430092752,0.15559082780652866,0.08517681370761951,0.07041401409890916,2743,0.7551987932334878
Dtl,0.05850945494994438,0.018206801786327723,0.6888229124351972,0.10463878326996205,0.5841841291652352,263,0.998168300829652
Ints7,0.22491657397107898,0.14410855376159395,0.35927997115888743,0.12265084075173108,0.23662913040715636,1011,0.9630427755629781
Lpgat1,0.21090100111234705,0.1698728959120577,0.194537270965507,0.12257383966244705,0.07196343130305995,948,0.7588621915741838
Slc30a1,0.06095661846496107,0.06097560975609756,-0.0003115542104326106,0.1417518248175182,-0.1420633790279508,274,0.09363215170779011
Traf5,0.4129032258064516,0.3629336997595328,0.12101994589488144,0.10392241379310335,0.017097532101778085,1856,0.5409977373127896
Rcor3,0.1310344827586207,0.11267605633802817,0.14010378057820613,0.14410865874363335,-0.004004878165427217,589,0.44628811550479475
Utp25,0.08609566184649611,0.07162487117828925,0.16807804665010295,0.13116279069767459,0.036915255952428366,387,0.6303200086197608
Traf3ip3,0.6651835372636262,0.6571624871178289,0.012058401473364242,0.07129096989966538,-0.05923256842630114,2990,0.22583773300290916
Lamb3,0.17842046718576196,0.14204740638955685,0.20386148164456608,0.12089775561097262,0.08296372603359346,802,0.7953884279711237
Hsd11b1,0.5136818687430478,0.31999312950875985,0.377059715399794,0.07341706366392367,0.30364265173587035,2309,0.9814675142764788
A330023F24Rik,0.09121245828698554,0.09051872208862934,0.007605717589295486,0.13931707317073191,-0.13171135558143643,410,0.10279064755953023
Cd46,0.07385984427141268,0.06698728959120577,0.09304859423954835,0.132409638554217,-0.03936104431466865,332,0.29436483137592934
Cr1l,0.3864293659621802,0.3409481277911371,0.1176961229584564,0.11221646516983323,0.005479657788623166,1737,0.4910031246632906
Nmt2,0.18420467185761957,0.14720027481964962,0.20088739696337554,0.12478260869565248,0.07610478826772306,828,0.7725460618467838
Rpp38,0.06963292547274749,0.06423909309515631,0.07746094740342609,0.14070287539936077,-0.06324192799593469,313,0.21398556190065726
Dclre1c,0.1817575083426029,0.14788732394366197,0.1863481993552503,0.12274173806609548,0.06360646128915481,817,0.7309557159788815
Hspa14,0.2992213570634038,0.24029543112332533,0.1969308826027158,0.11726394052044631,0.07966694208226949,1345,0.7843982329490357
Fam107b,0.6921023359288098,0.6350051528684301,0.08249817996027217,0.06698810671809699,0.015510073242175182,3111,0.5332399525913156
Prpf18,0.23448275862068965,0.18619031260735142,0.2059530785862954,0.1280834914611005,0.0778695871251949,1054,0.7784721473979097
Sephs1,0.1339265850945495,0.0953280659567159,0.2882065507052525,0.13049833887043172,0.15770821183482076,602,0.921452429695076
Phyh,0.29121245828698555,0.2648574373067674,0.09050100787324715,0.12452253628724198,-0.034021528413994834,1309,0.31386704018963474
Optn,0.05139043381535039,0.03246307110958434,0.36830517472908403,0.1369696969696972,0.23133547775938682,231,0.9615343174226916
Camk1d,0.9432703003337041,0.9089659910683614,0.036367422204649835,0.01767924528301876,0.018688176921631074,4240,0.5487555220342636
Cdc123,0.3639599555061179,0.31999312950875985,0.12080127314066291,0.1171882640586796,0.0036130090819833094,1636,0.4818446288115505
Nudt5,0.22202447163515016,0.16660941257299897,0.24958987022481924,0.12332665330661324,0.126263216918206,998,0.882663506087706
Sec61a2,0.0760845383759733,0.06801786327722432,0.1060225279791715,0.1384795321637426,-0.03245700418457109,342,0.32108608986100634
Upf2,0.3459399332591769,0.31192030230161455,0.09833970492234255,0.11464951768488757,-0.01630981276254502,1555,0.39316883956470206
Usp6nl,0.19087875417130146,0.19271727928546892,-0.009631900219327198,0.1262004662004666,-0.1358323664197938,858,0.09848076715871135
Celf2,0.8006674082313682,0.7830642390930952,0.021985619693397344,0.04280077799388714,-0.020815158300489793,3599,0.3739898717810581
Gata3,0.33948832035595106,0.32050841635176913,0.05590738433735108,0.10264744429882047,-0.04674005996146939,1526,0.2671048378407499
