gene,axis,lineage,detected,frac_ge_floor,detection_rate,mean_CPM,soup_frac
CXCL2,ligand_myeloid_stromal,CD8T,True,0.7413793103448276,0.9827586206896551,50.15112081723777,0.4495674477788457
CXCL3,ligand_myeloid_stromal,CD8T,True,0.7758620689655172,0.9310344827586207,43.554598444272656,0.6751410787057815
CXCL5,ligand_myeloid_stromal,CD8T,False,0.034482758620689655,0.39655172413793105,1.2682089240094252,0.8908502140240678
CXCL6,ligand_myeloid_stromal,CD8T,False,0.034482758620689655,0.1896551724137931,0.3910385495999248,0.36099360835942484
CXCL8,ligand_myeloid_stromal,CD8T,True,0.8448275862068966,0.9137931034482759,63.33782870280306,0.6154678607808626
CXCL9,ligand_myeloid_stromal,CD8T,False,0.08620689655172414,0.5344827586206896,2.1782979710312973,0.7203268240959094
CXCL10,ligand_myeloid_stromal,CD8T,False,0.3620689655172414,0.7413793103448276,6.973675473311362,0.6477385406232153
CXCL11,ligand_myeloid_stromal,CD8T,False,0.017241379310344827,0.46551724137931033,0.5384612322885365,0.7850129005326452
CXCL12,ligand_myeloid_stromal,CD8T,False,0.034482758620689655,0.3448275862068966,0.6024062688513825,0.29596982742520656
CXCL13,ligand_myeloid_stromal,CD8T,True,0.5862068965517241,0.7586206896551724,176.67678411326273,0.015434988497620494
CXCL14,ligand_myeloid_stromal,CD8T,True,0.5689655172413793,0.9827586206896551,12.42403383632335,0.22412969852574435
CXCL16,ligand_myeloid_stromal,CD8T,True,0.5517241379310345,0.9137931034482759,13.9299517959131,0.5187526261406166
CXCL17,ligand_myeloid_stromal,CD8T,False,0.29310344827586204,0.6551724137931034,6.881436352495935,0.40268241365913643
CX3CL1,ligand_myeloid_stromal,CD8T,False,0.06896551724137931,0.6896551724137931,1.5879654487978165,0.15519715396002842
KLRD1,control_positive,CD8T,True,0.9137931034482759,1.0,160.9425087416899,0.032992960818460856
NKG7,control_positive,CD8T,True,0.9827586206896551,1.0,701.2992058681334,0.026100524582414693
GNLY,control_positive,CD8T,True,0.8620689655172413,0.9482758620689655,367.6591669916636,0.09193182342095808
C1QA,control_negative,CD8T,True,0.8103448275862069,0.9310344827586207,112.57553587450006,0.6968596660728641
LYZ,control_negative,CD8T,True,0.8793103448275862,0.9827586206896551,183.40130266625235,0.9590630779998687
IGKC,control_negative,CD8T,True,0.8793103448275862,0.9827586206896551,3687.5253698163924,0.34518630717854415
CCR1,receptor_inflammatory,CD4T,False,0.3448275862068966,0.9482758620689655,3.7063739045724797,0.355546196770207
CCR2,receptor_inflammatory,CD4T,True,0.7241379310344828,0.9827586206896551,10.882299578511113,0.028938366705222988
CCR3,receptor_inflammatory,CD4T,False,0.017241379310344827,0.4827586206896552,0.4455782453106591,0.023356105520362016
CCR5,receptor_inflammatory,CD4T,True,0.9310344827586207,0.9827586206896551,18.874482314739836,0.02999348446219687
CXCR1,receptor_inflammatory,CD4T,False,0.0,0.1724137931034483,0.08276423283710167,0.5138881865032306
CXCR2,receptor_inflammatory,CD4T,False,0.0,0.6896551724137931,0.747186722858314,0.2796628435608386
CXCR3,receptor_inflammatory,CD4T,True,1.0,1.0,88.65226692372323,0.019780638443622867
CXCR6,receptor_inflammatory,CD4T,True,1.0,1.0,103.2154569183328,0.01791325311092728
CX3CR1,receptor_inflammatory,CD4T,False,0.1724137931034483,0.7068965517241379,2.678560496330819,0.19520871931635495
CCR4,receptor_homing,CD4T,True,0.7931034482758621,1.0,14.891460868441055,0.01376393985953946
CCR6,receptor_homing,CD4T,True,1.0,1.0,83.36998339597454,0.012145084287150547
