labelling,tissue,assay,donors,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright,reportable
clean_loose,thoracic lymph node,10x 5' v1,6,257,199,0,4260.25,0.7555555555555555,2.587678615769456,0.6607832322118037,0.6282051282051282,0.7638888888888888,0.7694805194805194,0.7733333333333334,0.7586996336996337,0.8792792792792793,0.8948135198135199,0.7733333333333333,0.7667748917748918,True
clean_loose,thoracic lymph node,10x 5' v2,4,177,102,0,4035.5,0.6138211382113821,1.7640009697822854,0.6781609195402298,0.5555555555555556,0.732968881412952,0.7089371980676329,0.7181571815718157,0.7801932367149759,0.7457947855340623,0.7787878787878788,0.708895552223888,0.7883838383838384,False
clean_loose,thymus,10x 5' v1,1,2,0,0,5870.0,0.0,0.9769119639211494,0.5,,0.5,,1.0,,0.5,,0.0,,False
clean_loose,transverse colon,10x 5' v1,1,4,2,0,4185.5,0.5,2.2813043756543125,0.5,0.0,0.75,0.5,0.75,0.5,0.75,1.0,0.75,1.0,False
clean_strict,blood,10x 3' v3,2,3511,220,1370,3863.75,0.0561951540311145,1.2135720009742093,0.4804332189317495,0.33611111111111114,0.7025195750015414,0.5583333333333333,0.7852711728559978,0.6708333333333334,0.16075648903594403,0.32083333333333336,0.3701387204833638,0.4597222222222222,False
clean_strict,blood,10x 5' v1,2,206,14,13,4461.0,0.06034567901234568,0.5696168881631081,0.2056296296296296,0.041666666666666664,0.7001975308641976,0.375,0.9171358024691358,0.8333333333333333,0.24918518518518518,0.8333333333333333,0.26790123456790127,0.8333333333333333,False
clean_strict,blood,10x 5' v2,2,267,15,54,4030.75,0.15161596958174905,1.1521296055539405,0.6625475285171103,0.39285714285714285,0.9315589353612168,0.8571428571428572,0.9258555133079848,0.9642857142857143,0.3431558935361217,0.75,0.43441064638783267,0.7857142857142857,False
clean_strict,bone marrow,10x 3' v3,2,6872,416,931,4276.75,0.048306168349686804,1.562895189801006,0.7351299168960921,0.6023936170212766,0.9370989312779545,0.8058510638297872,0.7923849510587618,0.7061170212765957,0.1535351510291366,0.3803191489361702,0.42667433687984924,0.6098404255319149,False
clean_strict,bone marrow,10x 5' v1,5,601,25,86,4302.0,0.03773584905660377,1.212909246358372,0.8170731707317073,0.8819444444444444,0.9024390243902439,0.7916666666666667,0.8378378378378378,0.7083333333333333,0.3157894736842105,0.5833333333333333,0.37735849056603776,0.6666666666666667,True
clean_strict,bone marrow,10x 5' v2,3,753,49,105,4549.0,0.078125,1.707079113749755,0.6363636363636364,0.375,0.84375,0.6875,0.8645833333333334,0.6666666666666666,0.2786458333333333,0.6333333333333333,0.4401041666666667,0.7333333333333333,True
clean_strict,caecum,10x 5' v1,1,2,0,0,5145.5,0.0,2.887111925630573,1.0,,0.5,,0.5,,1.0,,1.0,,False
clean_strict,duodenum,10x 5' v1,2,5,0,2,4190.75,0.0,2.8845811715596557,0.75,,0.875,,1.0,,0.25,,0.125,,False
clean_strict,ileum,10x 5' v1,1,1,0,0,3902.0,0.0,3.6995907300742954,1.0,,1.0,,1.0,,1.0,,1.0,,False
clean_strict,jejunal epithelium,10x 3' v3,2,60,12,32,3881.0,0.2232142857142857,1.5442312763008543,0.29464285714285715,0.3181818181818182,0.9464285714285714,0.9090909090909092,0.8660714285714286,0.8636363636363636,0.5,0.7727272727272727,0.5803571428571428,0.36363636363636365,False
clean_strict,jejunal epithelium,10x 5' v2,3,66,21,32,2947.0,0.2571428571428571,1.5903527891332048,0.6,0.2727272727272727,0.6,0.36363636363636365,0.9142857142857143,0.8888888888888888,0.8,1.0,0.8,0.9090909090909091,False
clean_strict,jejunum lamina propria,10x 3' v3,2,72,14,30,4411.5,0.14,1.4022271182817878,0.6181818181818182,0.7142857142857143,0.7609090909090909,0.8571428571428571,0.8145454545454545,0.5714285714285714,0.2981818181818182,0.6428571428571429,0.4390909090909091,0.5714285714285714,False
clean_strict,jejunum lamina propria,10x 5' v2,3,71,18,19,3397.5,0.25,1.6253868121906372,0.5,0.3333333333333333,0.75,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.5,1.0,0.75,0.7142857142857143,False
clean_strict,liver,10x 5' v1,5,1515,354,647,4436.5,0.171875,2.152979449578895,0.78125,0.8404255319148937,0.875,0.9259259259259259,0.7899686520376176,0.7735849056603774,0.723404255319149,0.8888888888888888,0.5073891625615764,0.6,True
clean_strict,liver,10x 5' v2,2,2072,286,412,4643.0,0.13925951618724425,2.1283765767088525,0.7691568196412417,0.7988640814727771,0.8627667602544212,0.8355855855855856,0.8545655668933709,0.7493634939287113,0.40367429586542114,0.8271151586368978,0.425483836191744,0.7737465726596162,False
clean_strict,lung,10x 3' v3,2,2880,184,711,4101.0,0.054594021178179596,1.3293956429916314,0.7777103482549028,0.6558150507195093,0.9115959134523491,0.8355744279311158,0.7799156122175924,0.6807029959896203,0.19496158110019496,0.41047416843595186,0.4337369547765587,0.5360934182590233,False
clean_strict,lung,10x 5' v1,6,324,9,41,3281.5,0.0356078431372549,1.7428476866094793,0.6666666666666666,0.0,0.8819444444444444,1.0,0.8469827586206897,0.0,0.5555555555555556,0.75,0.44588235294117645,1.0,True
clean_strict,lung,10x 5' v2,2,29,0,5,4852.25,0.0,1.8031022207622032,0.7947368421052632,,0.8473684210526315,,0.9236842105263158,,0.15263157894736842,,0.3368421052631579,,False
clean_strict,mesenteric lymph node,10x 5' v1,5,41,15,16,5050.5,0.09090909090909091,1.5918681137385589,0.7272727272727273,1.0,0.8,0.8,0.8,1.0,0.75,1.0,0.7272727272727273,0.5,False
