gene,p_green,p_red,n_pos_green,drop,d_null,resid
Hes6,0.16103896103896104,0.13692307692307693,62,0.1497518610421836,0.11548387096774203,0.034267990074441576
Hdac4,0.16883116883116883,0.1476923076923077,65,0.1252071005917159,0.12676923076923072,-0.001562130177514831
Ndufa10,0.3038961038961039,0.2969230769230769,117,0.022945430637738372,0.09401709401709406,-0.07107166337935569
Cops9,0.44675324675324674,0.4230769230769231,172,0.05299642218246867,0.08930232558139543,-0.03630590339892677
Gpc1,0.14025974025974025,0.12153846153846154,54,0.1334757834757834,0.09925925925925924,0.03421652421652416
Rnpepl1,0.2025974025974026,0.07076923076923076,78,0.6506903353057201,0.11589743589743594,0.5347928994082841
Ppp1r7,0.14025974025974025,0.14615384615384616,54,-0.042022792022792146,0.12296296296296287,-0.16498575498575502
Hdlbp,0.34545454545454546,0.3415384615384615,133,0.011336032388664053,0.10406015037594002,-0.09272411798727596
Sept2,0.07012987012987013,0.06461538461538462,27,0.07863247863247856,0.12148148148148175,-0.042849002849003184
Stk25,0.08571428571428572,0.09230769230769231,33,-0.07692307692307697,0.12969696969696975,-0.20662004662004674
Thap4,0.05714285714285714,0.038461538461538464,22,0.32692307692307687,0.14909090909090894,0.17783216783216793
Atg4b,0.13766233766233765,0.09384615384615384,53,0.3182873730043541,0.1373584905660378,0.1809288824383163
Dtymk,0.12207792207792208,0.15692307692307692,47,-0.28543371522094924,0.1148936170212767,-0.40032733224222594
Ing5,0.14545454545454545,0.10923076923076923,56,0.24903846153846151,0.11500000000000021,0.1340384615384613
Fam174a,0.18961038961038962,0.16153846153846155,73,0.14805057955742887,0.11013698630136991,0.03791359325605896
St8sia4,0.4987012987012987,0.34,192,0.3182291666666666,0.08124999999999999,0.23697916666666663
D1Ertd622e,0.35844155844155845,0.1476923076923077,138,0.5879598662207357,0.09188405797101447,0.49607580824972125
Ppip5k2,0.12987012987012986,0.11538461538461539,50,0.1115384615384614,0.12880000000000003,-0.01726153846153862
Gin1,0.07272727272727272,0.07692307692307693,28,-0.0576923076923078,0.09571428571428589,-0.15340659340659368
Pam,0.0987012987012987,0.07846153846153846,38,0.20506072874493936,0.11263157894736833,0.09242914979757103
Pign,0.06493506493506493,0.09538461538461539,25,-0.4689230769230771,0.10719999999999977,-0.5761230769230768
2310035C23Rik,0.2805194805194805,0.25846153846153846,108,0.07863247863247856,0.10407407407407417,-0.025441595441595605
Gm7160,0.05974025974025974,0.033846153846153845,23,0.4334448160535117,0.09391304347826093,0.3395317725752508
Zcchc2,0.36883116883116884,0.27384615384615385,142,0.2575297941495125,0.088169014084507,0.1693607800650055
Phlpp1,0.09090909090909091,0.07384615384615385,35,0.18769230769230763,0.11771428571428583,0.0699780219780218
Bcl2,0.8675324675324675,0.8323076923076923,334,0.04060340856748038,0.017485029940119884,0.0231183786273605
Kdsr,0.09090909090909091,0.07230769230769231,35,0.20461538461538462,0.11200000000000014,0.09261538461538447
Vps4b,0.43896103896103894,0.40923076923076923,169,0.06772872098315881,0.08828402366863895,-0.020555302685480142
Tsn,0.45714285714285713,0.42923076923076925,176,0.061057692307692236,0.08227272727272723,-0.021215034965034997
Nifk,0.0987012987012987,0.16615384615384615,38,-0.6834008097165991,0.11473684210526339,-0.7981376518218625
Clasp1,0.14805194805194805,0.19076923076923077,57,-0.2885290148448044,0.1228070175438597,-0.4113360323886641
Ptpn4,0.15324675324675324,0.10615384615384615,59,0.3073011734028683,0.10440677966101668,0.2028943937418516
Tmem37,0.3090909090909091,0.19846153846153847,119,0.35791855203619904,0.0988235294117647,0.25909502262443435
Dbi,0.4077922077922078,0.4076923076923077,157,0.00024497795198439475,0.10012738853503184,-0.09988241058304743
Insig2,0.17662337662337663,0.12923076923076923,68,0.2683257918552036,0.11058823529411785,0.15773755656108576
Ccdc93,0.06493506493506493,0.06307692307692307,25,0.028615384615384598,0.12320000000000002,-0.09458461538461542
Ddx18,0.2025974025974026,0.26461538461538464,78,-0.30611439842209076,0.10974358974358979,-0.41585798816568054
Actr3,0.8987012987012987,0.8,346,0.10982658959537564,0.03017341040462413,0.07965317919075152
Mgat5,0.36883116883116884,0.3892307692307692,142,-0.055308775731310864,0.09380281690140853,-0.1491115926327194
Tmem163,0.14285714285714285,0.15692307692307692,55,-0.09846153846153846,0.10472727272727267,-0.20318881118881113
Ccnt2,0.34545454545454546,0.2630769230769231,133,0.23846153846153842,0.11639097744360914,0.12207056101792928
Rab3gap1,0.24415584415584415,0.22,94,0.09893617021276595,0.11063829787234056,-0.01170212765957461
R3hdm1,0.45454545454545453,0.45692307692307693,175,-0.005230769230769284,0.07817142857142856,-0.08340219780219785
Ubxn4,0.5688311688311688,0.5661538461538461,219,0.004706708816297862,0.06922374429223749,-0.06451703547593962
Mcm6,0.24675324675324675,0.2,95,0.18947368421052627,0.10273684210526314,0.08673684210526313
Dars,0.17142857142857143,0.19384615384615383,66,-0.1307692307692307,0.11090909090909089,-0.2416783216783216
Cxcr4,0.34025974025974026,0.10153846153846154,131,0.7015854374633002,0.05770992366412192,0.6438755137991783
Cd55,0.05194805194805195,0.10923076923076923,20,-1.1026923076923074,0.12400000000000015,-1.2266923076923075
Yod1,0.05194805194805195,0.06307692307692307,20,-0.21423076923076906,0.11200000000000015,-0.3262307692307692
Mapkapk2,0.32727272727272727,0.36,126,-0.09999999999999996,0.09777777777777787,-0.19777777777777783
Eif2d,0.06753246753246753,0.07076923076923076,26,-0.04792899408284025,0.12923076923076918,-0.17715976331360944
Rassf5,0.35324675324675325,0.2969230769230769,136,0.15944570135746614,0.10352941176470593,0.05591628959276021
Ikbke,0.06493506493506493,0.05384615384615385,25,0.17076923076923065,0.11519999999999994,0.055569230769230704
Srgap2,0.21558441558441557,0.24307692307692308,83,-0.1275254865616312,0.09734939759036138,-0.22487488415199258
Ctse,0.2545454545454545,0.18153846153846154,98,0.28681318681318674,0.11918367346938752,0.16762951334379922
Slc41a1,0.07532467532467532,0.06923076923076923,29,0.08090185676392564,0.10206896551724139,-0.021167108753315747
Rab29,0.09610389610389611,0.06153846153846154,37,0.3596673596673597,0.12324324324324346,0.23642411642411623
