tissue,assay,donor,n_nk,n_nonnk,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
mesenteric lymph node,10x 5' v2,637C,794,3898,0.015135967162647512,0.029245767060030785,0.8123425692695214,0.8463476070528967,0.028967254408060455,0.11838790931989925,0.482367758186398,0.380352644836272,0.7707808564231738,0.8261964735516373,0.7758186397984886,0.48488664987405544
mesenteric lymph node,10x 5' v2,640C,106,4600,0.012608695652173913,0.035217391304347825,0.9056603773584906,0.8867924528301887,0.02830188679245283,0.19811320754716982,0.3584905660377358,0.5094339622641509,0.5849056603773585,0.6509433962264151,0.6226415094339622,0.839622641509434
omentum,10x 5' v1,A31,1,25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
omentum,10x 5' v1,A35,11,42,0.023809523809523808,0.09523809523809523,0.6363636363636364,0.8181818181818182,0.0,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.5454545454545454,0.2727272727272727
omentum,10x 5' v1,A36,18,86,0.05813953488372093,0.08139534883720931,0.8888888888888888,0.9444444444444444,0.0,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.9444444444444444,1.0,0.3333333333333333
omentum,10x 5' v1,A37,3,199,0.02512562814070352,0.020100502512562814,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333
thoracic lymph node,10x 3' v3,D496,37,13051,0.009118075243276378,0.01923224274001992,0.7027027027027027,0.8108108108108109,0.0,0.21621621621621623,0.4864864864864865,0.43243243243243246,0.5945945945945946,0.7837837837837838,0.8108108108108109,0.43243243243243246
thoracic lymph node,10x 3' v3,D503,340,6544,0.0065709046454767725,0.020018337408312957,0.8205882352941176,0.7176470588235294,0.008823529411764706,0.25,0.36176470588235293,0.4235294117647059,0.7470588235294118,0.8117647058823529,0.6852941176470588,0.7
thoracic lymph node,10x 5' v1,A29,49,3466,0.006924408540103866,0.031159838430467397,0.9387755102040817,0.8367346938775511,0.04081632653061224,0.22448979591836735,0.5306122448979592,0.46938775510204084,0.5918367346938775,0.6122448979591837,0.6938775510204082,0.9387755102040817
thoracic lymph node,10x 5' v1,A31,9,1589,0.0031466331025802393,0.021397105097545627,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.7777777777777778,0.4444444444444444,1.0
thoracic lymph node,10x 5' v1,A35,60,929,0.017222820236813777,0.05166846071044134,0.9333333333333333,0.8833333333333333,0.05,0.15,0.4666666666666667,0.48333333333333334,0.7333333333333333,0.75,0.7666666666666667,0.8666666666666667
thoracic lymph node,10x 5' v1,A36,100,3450,0.01652173913043478,0.035072463768115944,0.85,0.89,0.0,0.14,0.48,0.31,0.49,0.55,0.78,0.77
thoracic lymph node,10x 5' v1,A37,37,1954,0.018935516888433982,0.06192425793244626,0.8648648648648649,0.8108108108108109,0.24324324324324326,0.32432432432432434,0.8108108108108109,0.5945945945945946,0.7297297297297297,0.918918918918919,0.8108108108108109,0.8918918918918919
thoracic lymph node,10x 5' v1,A52,2,87,0.022988505747126436,0.011494252873563218,1.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5
thoracic lymph node,10x 5' v2,582C,41,2365,0.006765327695560253,0.02156448202959831,0.926829268292683,0.8292682926829268,0.024390243902439025,0.12195121951219512,0.2682926829268293,0.34146341463414637,0.7317073170731707,0.7073170731707317,0.6585365853658537,0.8536585365853658
thoracic lymph node,10x 5' v2,621B,9,2028,0.0029585798816568047,0.022682445759368838,0.7777777777777778,0.6666666666666666,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.4444444444444444
thoracic lymph node,10x 5' v2,637C,58,5523,0.007423501720079667,0.03476371537208039,0.8275862068965517,0.8448275862068966,0.017241379310344827,0.20689655172413793,0.5517241379310345,0.43103448275862066,0.6896551724137931,0.7586206896551724,0.8448275862068966,0.6379310344827587
thoracic lymph node,10x 5' v2,640C,69,3522,0.011357183418512209,0.04514480408858603,0.9565217391304348,0.9130434782608695,0.028985507246376812,0.2028985507246377,0.4057971014492754,0.5507246376811594,0.30434782608695654,0.30434782608695654,0.6086956521739131,0.8695652173913043
