batch,patient,condition,lineage,n_cells,mode
92,695,PBMC,CD8T,284,hashed
92,695,PBMC,CD4T,438,hashed
92,695,PBMC,B,419,hashed
92,695,PBMC,Myeloid,733,hashed
92,695,PBMC,unassigned,338,hashed
92,695,Tumor,NK,310,hashed
92,695,Tumor,CD8T,449,hashed
92,695,Tumor,CD4T,589,hashed
92,695,Tumor,B,1587,hashed
92,695,Tumor,Myeloid,1427,hashed
92,695,Tumor,unassigned,605,hashed
92,695,ambiguous,NK,256,hashed
92,695,ambiguous,CD8T,244,hashed
92,695,ambiguous,CD4T,388,hashed
92,695,ambiguous,B,506,hashed
92,695,ambiguous,Myeloid,733,hashed
92,695,ambiguous,unassigned,447,hashed
92,695,mouse,NK,14,hashed
92,695,mouse,CD8T,22,hashed
92,695,mouse,CD4T,1,hashed
92,695,mouse,B,81,hashed
92,695,mouse,Myeloid,47,hashed
92,695,mouse,unassigned,14,hashed
93,695,Normal,NK,371,hashed
93,695,Normal,CD8T,359,hashed
93,695,Normal,CD4T,1422,hashed
93,695,Normal,B,453,hashed
93,695,Normal,Myeloid,1083,hashed
93,695,Normal,unassigned,687,hashed
93,695,PBMC,NK,356,hashed
93,695,PBMC,CD8T,221,hashed
93,695,PBMC,CD4T,482,hashed
93,695,PBMC,B,403,hashed
93,695,PBMC,Myeloid,711,hashed
93,695,PBMC,unassigned,296,hashed
93,695,Tumor,NK,281,hashed
93,695,Tumor,CD8T,395,hashed
93,695,Tumor,CD4T,638,hashed
93,695,Tumor,B,1492,hashed
93,695,Tumor,Myeloid,1341,hashed
93,695,Tumor,unassigned,714,hashed
93,695,ambiguous,NK,265,hashed
93,695,ambiguous,CD8T,181,hashed
93,695,ambiguous,CD4T,390,hashed
93,695,ambiguous,B,516,hashed
93,695,ambiguous,Myeloid,685,hashed
93,695,ambiguous,unassigned,492,hashed
93,695,mouse,NK,20,hashed
93,695,mouse,CD8T,7,hashed
93,695,mouse,CD4T,0,hashed
93,695,mouse,B,88,hashed
93,695,mouse,Myeloid,40,hashed
93,695,mouse,unassigned,24,hashed
230,338,Tumor,NK,309,single
230,338,Tumor,CD8T,362,single
230,338,Tumor,CD4T,583,single
230,338,Tumor,B,663,single
230,338,Tumor,Myeloid,544,single
230,338,Tumor,unassigned,2224,single
231,338,Tumor,NK,106,single
231,338,Tumor,CD8T,54,single
231,338,Tumor,CD4T,118,single
231,338,Tumor,B,185,single
231,338,Tumor,Myeloid,180,single
231,338,Tumor,unassigned,654,single
244,522,Normal,NK,87,single
244,522,Normal,CD8T,321,single
244,522,Normal,CD4T,675,single
244,522,Normal,B,849,single
244,522,Normal,Myeloid,1078,single
244,522,Normal,unassigned,876,single
245,522,Tumor,NK,129,single
245,522,Tumor,CD8T,587,single
245,522,Tumor,CD4T,864,single
245,522,Tumor,B,1184,single
245,522,Tumor,Myeloid,1870,single
245,522,Tumor,unassigned,1085,single
292,714,Tumor,NK,266,single
292,714,Tumor,CD8T,225,single
292,714,Tumor,CD4T,614,single
292,714,Tumor,B,1103,single
292,714,Tumor,Myeloid,661,single
292,714,Tumor,unassigned,199,single
293,714,Normal,NK,379,single
293,714,Normal,CD8T,150,single
293,714,Normal,CD4T,543,single
293,714,Normal,B,365,single
293,714,Normal,Myeloid,1292,single
293,714,Normal,unassigned,260,single
307,729,Normal,NK,190,single
307,729,Normal,CD8T,622,single
307,729,Normal,CD4T,744,single
307,729,Normal,B,473,single
307,729,Normal,Myeloid,2319,single
307,729,Normal,unassigned,512,single
308,729,Tumor,NK,137,single
308,729,Tumor,CD8T,472,single
308,729,Tumor,CD4T,1766,single
308,729,Tumor,B,776,single
308,729,Tumor,Myeloid,1977,single
308,729,Tumor,unassigned,726,single
309,725,Tumor,NK,354,single
309,725,Tumor,CD8T,863,single
309,725,Tumor,CD4T,2122,single
309,725,Tumor,B,1336,single
309,725,Tumor,Myeloid,2136,single
309,725,Tumor,unassigned,1490,single
342,706,Normal,NK,198,hashed
342,706,Normal,CD8T,399,hashed
342,706,Normal,CD4T,584,hashed
342,706,Normal,B,210,hashed
342,706,Normal,Myeloid,958,hashed
342,706,Normal,unassigned,789,hashed
342,706,PBMC,NK,102,hashed
342,706,PBMC,CD8T,348,hashed
342,706,PBMC,CD4T,556,hashed
342,706,PBMC,B,250,hashed
342,706,PBMC,Myeloid,382,hashed
342,706,PBMC,unassigned,377,hashed
342,706,Tumor,NK,141,hashed
342,706,Tumor,CD8T,359,hashed
342,706,Tumor,CD4T,650,hashed
342,706,Tumor,B,1037,hashed
342,706,Tumor,Myeloid,1067,hashed
342,706,Tumor,unassigned,584,hashed
342,706,ambiguous,NK,74,hashed
342,706,ambiguous,CD8T,121,hashed
342,706,ambiguous,CD4T,186,hashed
342,706,ambiguous,B,152,hashed
342,706,ambiguous,Myeloid,364,hashed
342,706,ambiguous,unassigned,282,hashed
342,706,mouse,NK,16,hashed
342,706,mouse,CD8T,4,hashed
342,706,mouse,CD4T,3,hashed
342,706,mouse,B,53,hashed
342,706,mouse,Myeloid,29,hashed
342,706,mouse,unassigned,26,hashed
343,706,Normal,NK,215,hashed
343,706,Normal,CD8T,409,hashed
343,706,Normal,CD4T,577,hashed
343,706,Normal,B,313,hashed
343,706,Normal,Myeloid,1012,hashed
343,706,Normal,unassigned,694,hashed
343,706,PBMC,NK,105,hashed
343,706,PBMC,CD8T,391,hashed
343,706,PBMC,CD4T,505,hashed
343,706,PBMC,B,227,hashed
343,706,PBMC,Myeloid,385,hashed
343,706,PBMC,unassigned,430,hashed
343,706,Tumor,NK,157,hashed
343,706,Tumor,CD8T,415,hashed
343,706,Tumor,CD4T,678,hashed
343,706,Tumor,B,1167,hashed
343,706,Tumor,Myeloid,1030,hashed
343,706,Tumor,unassigned,445,hashed
343,706,ambiguous,NK,87,hashed
343,706,ambiguous,CD8T,111,hashed
343,706,ambiguous,CD4T,140,hashed
343,706,ambiguous,B,240,hashed
343,706,ambiguous,Myeloid,324,hashed
343,706,ambiguous,unassigned,248,hashed
343,706,mouse,NK,22,hashed
343,706,mouse,CD8T,8,hashed
343,706,mouse,CD4T,4,hashed
343,706,mouse,B,66,hashed
343,706,mouse,Myeloid,41,hashed
343,706,mouse,unassigned,20,hashed
344,706,Normal,NK,224,hashed
344,706,Normal,CD8T,397,hashed
344,706,Normal,CD4T,564,hashed
344,706,Normal,B,196,hashed
344,706,Normal,Myeloid,965,hashed
344,706,Normal,unassigned,844,hashed
344,706,PBMC,NK,116,hashed
344,706,PBMC,CD8T,375,hashed
344,706,PBMC,CD4T,549,hashed
344,706,PBMC,B,225,hashed
344,706,PBMC,Myeloid,386,hashed
344,706,PBMC,unassigned,363,hashed
344,706,Tumor,NK,144,hashed
344,706,Tumor,CD8T,371,hashed
344,706,Tumor,CD4T,668,hashed
344,706,Tumor,B,1028,hashed
344,706,Tumor,Myeloid,1032,hashed
344,706,Tumor,unassigned,603,hashed
344,706,ambiguous,NK,81,hashed
344,706,ambiguous,CD8T,115,hashed
344,706,ambiguous,CD4T,179,hashed
344,706,ambiguous,B,172,hashed
344,706,ambiguous,Myeloid,352,hashed
344,706,ambiguous,unassigned,286,hashed
344,706,mouse,NK,28,hashed
344,706,mouse,CD8T,6,hashed
344,706,mouse,CD4T,3,hashed
344,706,mouse,B,45,hashed
344,706,mouse,Myeloid,43,hashed
344,706,mouse,unassigned,33,hashed
345,706,Normal,NK,203,hashed
345,706,Normal,CD8T,423,hashed
345,706,Normal,CD4T,586,hashed
345,706,Normal,B,176,hashed
345,706,Normal,Myeloid,1013,hashed
345,706,Normal,unassigned,833,hashed
345,706,PBMC,NK,113,hashed
345,706,PBMC,CD8T,362,hashed
345,706,PBMC,CD4T,605,hashed
345,706,PBMC,B,233,hashed
345,706,PBMC,Myeloid,411,hashed
345,706,PBMC,unassigned,404,hashed
345,706,Tumor,NK,152,hashed
345,706,Tumor,CD8T,382,hashed
345,706,Tumor,CD4T,645,hashed
345,706,Tumor,B,1024,hashed
345,706,Tumor,Myeloid,1016,hashed
345,706,Tumor,unassigned,617,hashed
345,706,ambiguous,NK,75,hashed
345,706,ambiguous,CD8T,112,hashed
345,706,ambiguous,CD4T,192,hashed
345,706,ambiguous,B,191,hashed
345,706,ambiguous,Myeloid,350,hashed
345,706,ambiguous,unassigned,305,hashed
345,706,mouse,NK,16,hashed
345,706,mouse,CD8T,4,hashed
345,706,mouse,CD4T,1,hashed
345,706,mouse,B,49,hashed
345,706,mouse,Myeloid,49,hashed
345,706,mouse,unassigned,40,hashed
346,706,Normal,NK,233,hashed
346,706,Normal,CD8T,439,hashed
346,706,Normal,CD4T,558,hashed
346,706,Normal,B,314,hashed
346,706,Normal,Myeloid,1001,hashed
346,706,Normal,unassigned,691,hashed
346,706,PBMC,NK,110,hashed
346,706,PBMC,CD8T,356,hashed
346,706,PBMC,CD4T,553,hashed
346,706,PBMC,B,235,hashed
346,706,PBMC,Myeloid,390,hashed
346,706,PBMC,unassigned,380,hashed
346,706,Tumor,NK,160,hashed
346,706,Tumor,CD8T,373,hashed
346,706,Tumor,CD4T,660,hashed
346,706,Tumor,B,1155,hashed
346,706,Tumor,Myeloid,1007,hashed
346,706,Tumor,unassigned,453,hashed
346,706,ambiguous,NK,82,hashed
346,706,ambiguous,CD8T,110,hashed
346,706,ambiguous,CD4T,166,hashed
346,706,ambiguous,B,228,hashed
346,706,ambiguous,Myeloid,379,hashed
346,706,ambiguous,unassigned,252,hashed
346,706,mouse,NK,24,hashed
346,706,mouse,CD8T,2,hashed
346,706,mouse,CD4T,3,hashed
346,706,mouse,B,69,hashed
346,706,mouse,Myeloid,41,hashed
346,706,mouse,unassigned,22,hashed
347,706,Normal,NK,207,hashed
347,706,Normal,CD8T,362,hashed
347,706,Normal,CD4T,533,hashed
347,706,Normal,B,293,hashed
347,706,Normal,Myeloid,1010,hashed
347,706,Normal,unassigned,611,hashed
347,706,PBMC,NK,97,hashed
347,706,PBMC,CD8T,337,hashed
347,706,PBMC,CD4T,506,hashed
347,706,PBMC,B,210,hashed
