definition,tissue,assay,n_donors,n_nk,top_donor_share,median_umi,bright_frac,stress,insufficient,CCL3,CCL3_iqr,CCL3_bright,CCL3_floor,CCL4,CCL4_iqr,CCL4_bright,CCL4_floor,CCL5,CCL5_iqr,CCL5_bright,CCL5_floor,XCL1,XCL1_iqr,XCL1_bright,XCL1_floor,XCL2,XCL2_iqr,XCL2_bright,XCL2_floor
uniform,jejunal epithelium,10x 3' v3,2,12,0.8333333333333334,3452.5,0.85,1.281165001767281,donors 2<3; NK 12<200; one donor 83% of cells,0.2,0.20000000000000004,0.2857142857142857,False,0.65,0.15000000000000013,0.6071428571428572,False,0.9,0.09999999999999987,0.9285714285714286,False,0.2,0.20000000000000004,0.21428571428571425,False,0.3,0.29999999999999993,0.2857142857142857,False
uniform,jejunum lamina propria,10x 3' v3,2,17,0.8823529411764706,9146.0,0.6166666666666667,1.0677126905696592,donors 2<3; NK 17<200; one donor 88% of cells,0.5833333333333333,0.08333333333333337,0.2727272727272727,False,0.6166666666666667,0.11666666666666659,0.36363636363636365,False,0.65,0.15000000000000013,0.4090909090909091,False,0.48333333333333334,0.01666666666666672,0.2727272727272727,False,0.5166666666666666,0.01666666666666672,0.2727272727272727,False
uniform,lung,10x 3' v3,2,486,0.8045267489711934,4519.5,0.21803742091802397,1.3147349797104158,donors 2<3; one donor 80% of cells,0.7540718804684345,0.035401803742091786,0.6153846153846154,False,0.9212545430071342,0.026113878045497363,0.8461538461538463,False,0.7752725804280522,0.06683268272984255,0.7051282051282051,False,0.20180374209180235,0.12811953156548667,0.2948717948717948,False,0.4144837797819356,0.1302732534661462,0.423076923076923,False
uniform,spleen,10x 3' v3,2,1134,0.8218694885361552,4615.25,0.3619438660604258,1.5895811005944671,donors 2<3; one donor 82% of cells,0.5898737942463774,0.04531933880083283,0.6088944678561823,False,0.8613542684740578,0.05448731568435827,0.8026539944409576,False,0.7187088344027537,0.09317235371605836,0.6809378642517708,False,0.28366549101262056,0.2292100454680662,0.46207298484712633,False,0.40220647601240805,0.219038159180725,0.5564422128575272,False
uniform,thoracic lymph node,10x 3' v3,2,89,0.9213483146067416,4265.0,0.5574912891986062,1.6513599631752216,donors 2<3; NK 89<200; one donor 92% of cells,0.6759581881533101,0.1045296167247387,0.8897058823529411,False,0.759581881533101,0.04529616724738672,0.6544117647058824,False,0.8170731707317074,0.18292682926829273,0.8014705882352942,False,0.43728222996515675,0.2944250871080139,0.625,False,0.6759581881533101,0.1045296167247387,0.6397058823529411,False
uniform,blood,10x 5' v1,2,48,0.7083333333333334,4851.0,0.08823529411764705,0.5174579937787549,donors 2<3; NK 48<200; one donor 71% of cells,0.1071428571428571,0.1071428571428571,0.0,False,0.6743697478991597,0.031512605042016695,0.1666666666666666,False,0.9264705882352942,0.07352941176470595,0.5,False,0.30252100840336127,0.12605042016806717,0.5,False,0.2836134453781512,0.06932773109243703,0.5,False
uniform,bone marrow,10x 5' v1,4,99,0.46464646464646464,4213.0,0.16190476190476186,1.1657782128691547,NK 99<200,0.8165266106442577,0.15543173791255627,0.8035714285714286,False,0.8991596638655461,0.11302521008403354,0.9285714285714286,False,0.91231884057971,0.0637346242844965,0.7321428571428572,False,0.3254901960784314,0.46186822555109003,0.5,False,0.40724637681159415,0.21167945439045183,0.625,False
uniform,duodenum,10x 5' v1,1,1,1.0,3342.0,1.0,3.7648654679391207,donors 1<3; NK 1<200; one donor 100% of cells,1.0,0.0,1.0,False,1.0,0.0,1.0,False,1.0,0.0,1.0,False,1.0,0.0,1.0,False,0.0,0.0,0.0,True
uniform,ileum,10x 5' v1,1,1,1.0,1304.0,1.0,0.93115279500239,donors 1<3; NK 1<200; one donor 100% of cells,0.0,0.0,0.0,True,1.0,0.0,1.0,False,1.0,0.0,1.0,False,0.0,0.0,0.0,True,0.0,0.0,0.0,True
uniform,liver,10x 5' v1,5,186,0.553763440860215,4356.0,0.5,1.8866954446276087,NK 186<200; one donor 55% of cells,0.7959183673469388,0.06818181818181823,0.875,False,0.8571428571428571,0.10076530612244894,1.0,False,0.8125,0.04148278905560465,0.75,False,0.7142857142857143,0.27449249779346874,1.0,False,0.6796116504854369,0.14204545454545459,0.7142857142857143,False
uniform,lung,10x 5' v1,6,45,0.3333333333333333,3687.0,0.04166666666666665,1.7669302955142339,NK 45<200,0.625,0.4,0.0,False,0.9583333333333333,0.12083333333333335,1.0,False,0.8583333333333334,0.4041666666666667,0.0,False,0.20833333333333331,0.6083333333333334,0.0,False,0.45833333333333337,0.4333333333333334,1.0,False
uniform,mesenteric lymph node,10x 5' v1,3,14,0.7142857142857143,5516.0,1.0,2.8312536733282445,NK 14<200; one donor 71% of cells,0.3333333333333333,0.24999999999999997,0.3333333333333333,False,0.0,0.3,0.0,True,0.6666666666666666,0.4000000000000001,0.6666666666666666,False,0.8,0.16666666666666663,0.7777777777777778,False,0.8,0.33333333333333337,0.7777777777777778,False
uniform,omentum,10x 5' v1,2,9,0.6666666666666666,5490.5,0.16666666666666666,1.7710270741002472,donors 2<3; NK 9<200; one donor 67% of cells,0.6666666666666666,0.0,1.0,False,0.8333333333333333,0.16666666666666663,1.0,False,1.0,0.0,1.0,False,0.41666666666666663,0.25,1.0,False,0.3333333333333333,0.0,1.0,False
uniform,skeletal muscle tissue,10x 5' v1,2,31,0.967741935483871,4970.25,0.05,0.8169237650217991,donors 2<3; NK 31<200; one donor 97% of cells,0.7833333333333333,0.21666666666666656,1.0,False,1.0,0.0,1.0,False,0.95,0.04999999999999993,1.0,False,0.3,0.29999999999999993,1.0,False,0.1833333333333333,0.18333333333333326,1.0,False
uniform,spleen,10x 5' v1,6,268,0.5335820895522388,5153.0,0.4908389585342333,1.9623158410330732,one donor 53% of cells,0.8247162673392181,0.22248349528966693,0.8444444444444444,False,0.9286301933360757,0.07591599576893693,0.8444444444444444,False,0.8265734265734266,0.14150685380193573,0.7941919191919191,False,0.7512896939126448,0.31055332083538456,0.8623737373737373,False,0.6779411764705883,0.13165208706433396,0.775,False
uniform,thoracic lymph node,10x 5' v1,4,41,0.4146341463414634,4933.5,0.7573529411764706,2.540867603696211,NK 41<200,0.5735294117647058,0.1740196078431373,0.5576923076923077,False,0.8529411764705883,0.33823529411764697,0.8076923076923077,False,0.8529411764705883,0.2941176470588235,0.8461538461538461,False,0.9117647058823528,0.10661764705882348,0.9642857142857143,False,0.7573529411764706,0.05024509803921562,0.717948717948718,False
uniform,transverse colon,10x 5' v1,1,1,1.0,3844.0,0.0,2.6656108516651016,donors 1<3; NK 1<200; one donor 100% of cells,0.0,0.0,,True,1.0,0.0,,False,1.0,0.0,,False,1.0,0.0,,False,1.0,0.0,,False
uniform,blood,10x 5' v2,1,57,1.0,4879.0,0.175438596491228,1.5244522440357895,donors 1<3; NK 57<200; one donor 100% of cells,0.8771929824561403,0.0,0.9,False,0.8596491228070176,0.0,0.7,False,0.8947368421052632,0.0,1.0,False,0.2280701754385964,0.0,0.6,False,0.4561403508771929,0.0,0.5,False
uniform,bone marrow,10x 5' v2,3,126,0.5396825396825397,4783.0,0.3529411764705882,1.736404725448463,NK 126<200; one donor 54% of cells,0.7169811320754716,0.08235294117647052,0.5,False,0.9264705882352942,0.08490566037735847,0.9166666666666666,False,0.8676470588235294,0.07169811320754715,0.7083333333333334,False,0.3529411764705882,0.09622641509433966,0.625,False,0.4,0.17036625971143177,0.7083333333333334,False
uniform,jejunal epithelium,10x 5' v2,2,19,0.5789473684210527,3509.25,0.6761363636363636,1.9583155030971788,donors 2<3; NK 19<200; one donor 58% of cells,0.26136363636363635,0.011363636363636354,0.1875,False,0.5568181818181818,0.19318181818181823,0.55,False,0.7727272727272727,0.2272727272727273,0.75,False,0.6590909090909092,0.15909090909090906,0.675,False,0.7670454545454546,0.14204545454545459,0.8375,False
uniform,jejunum lamina propria,10x 5' v2,3,15,0.8,3931.0,0.75,2.183841964529601,NK 15<200; one donor 80% of cells,0.5833333333333334,0.5,0.5555555555555556,False,0.75,0.5,0.6666666666666666,False,0.6666666666666666,0.49999999999999994,0.5555555555555556,False,1.0,0.29166666666666663,1.0,False,1.0,0.29166666666666663,1.0,False
uniform,liver,10x 5' v2,2,457,0.5579868708971554,4972.25,0.36368666278392536,2.081448730823377,donors 2<3; one donor 56% of cells,0.7983207144243836,0.04089497185012625,0.8278363108871585,False,0.9133372160745485,0.0074548631333722915,0.8606657504962589,False,0.8201805474665114,0.003348864298194587,0.7438540235150405,False,0.4394195301883129,0.09783537177247131,0.7618720415330584,False,0.47018054746651133,0.1533488642981945,0.6940754313635669,False
uniform,lung,10x 5' v2,2,5,0.6,6369.25,0.0,1.7731746996941848,donors 2<3; NK 5<200; one donor 60% of cells,1.0,0.0,,False,1.0,0.0,,False,1.0,0.0,,False,0.0,0.0,,True,0.3333333333333333,0.33333333333333337,,False
uniform,mesenteric lymph node,10x 5' v2,3,241,0.8215767634854771,4673.0,0.7,1.5216300951951731,one donor 82% of cells,0.8181818181818182,0.06161616161616168,0.7931034482758621,False,0.8383838383838383,0.024242424242424176,0.8275862068965517,False,0.7626262626262627,0.0818181818181819,0.7142857142857143,False,0.5656565656565656,0.3242424242424242,0.6974789915966386,False,0.6313131313131313,0.24848484848484853,0.7142857142857143,False
uniform,spleen,10x 5' v2,4,410,0.424390243902439,3976.5,0.4925129178530001,1.9459580313337175,,0.7270154206519617,0.117249246131375,0.723901098901099,False,0.813031914893617,0.10112675033262208,0.7632211538461539,False,0.7642287234042553,0.025120238960648522,0.7225274725274725,False,0.5152298850574712,0.14586356660631233,0.75,False,0.5367097701149426,0.25956275199068435,0.7120535714285714,False
uniform,thoracic lymph node,10x 5' v2,4,39,0.3333333333333333,4504.25,0.625,1.5299302296766943,NK 39<200,0.5804195804195804,0.2191142191142192,0.6696428571428572,False,0.7803030303030303,0.12441724941724941,0.7410714285714286,False,0.6666666666666666,0.03321678321678323,0.5357142857142857,False,0.8776223776223777,0.10970279720279719,0.9285714285714286,False,0.7628205128205128,0.1663752913752914,0.7857142857142857,False
