labelling,tissue,assay,donor,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright
original,thoracic lymph node,10x 5' v1,A31,9,9,0,2812.0,1.0,2.6051904466974656,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444,1.0,1.0,0.5555555555555556,0.5555555555555556
original,thoracic lymph node,10x 5' v1,A35,60,59,0,4684.0,0.9833333333333333,2.818588832657419,0.7333333333333333,0.7288135593220338,0.75,0.7457627118644068,0.7666666666666667,0.7627118644067796,0.8666666666666667,0.8813559322033898,0.8166666666666667,0.8305084745762712
original,thoracic lymph node,10x 5' v1,A36,100,98,0,4200.5,0.98,2.731439896681103,0.49,0.47959183673469385,0.55,0.5408163265306123,0.78,0.7755102040816326,0.77,0.7755102040816326,0.73,0.7346938775510204
original,thoracic lymph node,10x 5' v1,A37,37,35,0,5116.0,0.9459459459459459,2.2682865091986484,0.7297297297297297,0.7428571428571429,0.918918918918919,0.9142857142857143,0.8108108108108109,0.8,0.8918918918918919,0.9428571428571428,0.918918918918919,0.9142857142857143
original,thoracic lymph node,10x 5' v1,A52,2,2,0,1866.0,1.0,1.6601154124915263,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0
original,thoracic lymph node,10x 5' v2,582C,41,38,0,3616.0,0.926829268292683,1.5776622914432066,0.7317073170731707,0.7631578947368421,0.7073170731707317,0.7105263157894737,0.6585365853658537,0.6842105263157895,0.8536585365853658,0.8947368421052632,0.8780487804878049,0.9210526315789473
original,thoracic lymph node,10x 5' v2,621B,9,6,0,3664.0,0.6666666666666666,1.4620064516708062,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.8333333333333334
original,thoracic lymph node,10x 5' v2,637C,58,40,0,4407.0,0.6896551724137931,1.950339648121364,0.6896551724137931,0.65,0.7586206896551724,0.7,0.8448275862068966,0.825,0.6379310344827587,0.825,0.6206896551724138,0.75
original,thoracic lymph node,10x 5' v2,640C,69,65,0,5891.0,0.9420289855072463,2.962333079906481,0.30434782608695654,0.27692307692307694,0.30434782608695654,0.27692307692307694,0.6086956521739131,0.6153846153846154,0.8695652173913043,0.8923076923076924,0.7971014492753623,0.8153846153846154
clean_strict,jejunum lamina propria,10x 3' v3,D496,22,0,8,4781.5,0.0,0.7195733653166416,0.6363636363636364,,0.6818181818181818,,0.9090909090909091,,0.13636363636363635,,0.3181818181818182,
clean_strict,jejunum lamina propria,10x 3' v3,D503,50,14,22,4041.5,0.28,2.084880871246934,0.6,0.7142857142857143,0.84,0.8571428571428571,0.72,0.5714285714285714,0.46,0.6428571428571429,0.56,0.5714285714285714
clean_strict,jejunum lamina propria,10x 5' v2,582C,12,3,4,3397.5,0.25,1.6253868121906372,0.5,0.3333333333333333,0.75,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.75,1.0,0.8333333333333334,0.6666666666666666
clean_strict,jejunum lamina propria,10x 5' v2,637C,4,1,2,2835.0,0.25,0.8771260061815529,0.5,0.0,0.25,0.0,0.25,0.0,0.5,1.0,0.75,1.0
clean_strict,jejunum lamina propria,10x 5' v2,640C,55,14,13,4529.0,0.2545454545454545,3.254163785811763,0.6,0.6428571428571429,0.8181818181818182,0.8571428571428571,0.9090909090909091,0.7857142857142857,0.45454545454545453,0.7857142857142857,0.4727272727272727,0.7142857142857143
clean_strict,blood,10x 3' v3,D496,950,40,228,4094.5,0.042105263157894736,1.114168527426824,0.30526315789473685,0.35,0.6736842105263158,0.65,0.8852631578947369,0.825,0.02631578947368421,0.025,0.18736842105263157,0.225
clean_strict,blood,10x 3' v3,D503,2561,180,1142,3633.0,0.07028504490433425,1.3129754745215945,0.6556032799687622,0.32222222222222224,0.7313549394767669,0.4666666666666667,0.6852791878172588,0.5166666666666667,0.2951971885982038,0.6166666666666667,0.552909019914096,0.6944444444444444
clean_strict,blood,10x 5' v1,A35,81,2,7,3903.0,0.024691358024691357,0.523657784786817,0.25925925925925924,0.0,0.7283950617283951,0.5,0.9382716049382716,1.0,0.37037037037037035,1.0,0.13580246913580246,1.0
clean_strict,blood,10x 5' v1,A36,125,12,6,5019.0,0.096,0.615575991539399,0.152,0.08333333333333333,0.672,0.25,0.896,0.6666666666666666,0.128,0.6666666666666666,0.4,0.6666666666666666
clean_strict,blood,10x 5' v2,621B,4,1,0,3679.5,0.25,0.8767578800658093,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
clean_strict,blood,10x 5' v2,637C,263,14,54,4382.0,0.053231939163498096,1.4275013310420717,0.8250950570342205,0.7857142857142857,0.8631178707224335,0.7142857142857143,0.8517110266159695,0.9285714285714286,0.18631178707224336,0.5,0.3688212927756654,0.5714285714285714
clean_strict,jejunal epithelium,10x 3' v3,D496,4,1,3,3826.5,0.25,0.9323709415514578,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0
clean_strict,jejunal epithelium,10x 3' v3,D503,56,11,29,3935.5,0.19642857142857142,2.156091611050251,0.5892857142857143,0.6363636363636364,0.8928571428571429,0.8181818181818182,0.7321428571428571,0.7272727272727273,0.5,0.5454545454545454,0.6607142857142857,0.7272727272727273
clean_strict,jejunal epithelium,10x 5' v2,582C,26,11,12,2829.0,0.4230769230769231,1.3727601789000963,0.23076923076923078,0.2727272727272727,0.34615384615384615,0.36363636363636365,0.46153846153846156,0.5454545454545454,0.9230769230769231,0.8181818181818182,0.9230769230769231,0.9090909090909091
clean_strict,jejunal epithelium,10x 5' v2,637C,5,1,3,2947.0,0.2,1.5903527891332048,0.6,0.0,0.6,0.0,1.0,1.0,0.8,1.0,0.8,1.0
clean_strict,jejunal epithelium,10x 5' v2,640C,35,9,17,4163.0,0.2571428571428571,2.8666061836672707,0.6857142857142857,0.6666666666666666,0.8857142857142857,1.0,0.9142857142857143,0.8888888888888888,0.6857142857142857,1.0,0.5428571428571428,0.8888888888888888
clean_strict,skeletal muscle tissue,10x 5' v1,A29,2,0,0,4319.5,0.0,0.8511833876047069,0.5,,1.0,,1.0,,1.0,,0.5,
clean_strict,skeletal muscle tissue,10x 5' v1,A35,127,8,7,5232.0,0.06299212598425197,1.331422187003816,0.6535433070866141,0.75,0.952755905511811,0.875,0.8976377952755905,0.875,0.5984251968503937,0.875,0.2992125984251969,0.625
clean_strict,skeletal muscle tissue,10x 5' v1,A37,5,0,0,4503.0,0.0,1.0146697254772872,0.6,,1.0,,0.8,,0.2,,0.6,
clean_strict,caecum,10x 5' v1,A29,2,0,0,5145.5,0.0,2.887111925630573,1.0,,0.5,,0.5,,1.0,,1.0,
clean_strict,transverse colon,10x 5' v1,A29,4,1,1,4185.5,0.25,2.2813043756543125,0.5,0.0,0.75,0.0,0.75,0.0,0.75,1.0,0.75,1.0
clean_strict,sigmoid colon,10x 5' v1,A29,1,0,0,4983.0,0.0,3.003106671528441,0.0,,1.0,,1.0,,0.0,,0.0,
clean_strict,lung,10x 3' v3,D496,808,27,140,4192.0,0.03341584158415842,1.128254778899293,0.8044554455445545,0.8148148148148148,0.9356435643564357,0.9259259259259259,0.8551980198019802,0.8518518518518519,0.11386138613861387,0.2222222222222222,0.35396039603960394,0.3333333333333333
clean_strict,lung,10x 3' v3,D503,2072,157,571,4010.0,0.07577220077220077,1.5305365070839698,0.750965250965251,0.4968152866242038,0.8875482625482626,0.7452229299363057,0.7046332046332047,0.5095541401273885,0.27606177606177607,0.5987261146496815,0.5135135135135135,0.7388535031847133
clean_strict,lung,10x 5' v1,A29,125,4,14,4674.0,0.032,1.3163635800032054,0.752,0.25,0.984,1.0,0.904,0.75,0.68,0.75,0.48,0.5
clean_strict,lung,10x 5' v1,A31,18,0,2,2664.0,0.0,1.6335616384205824,0.6666666666666666,,0.8888888888888888,,0.8888888888888888,,0.6111111111111112,,0.05555555555555555,
clean_strict,lung,10x 5' v1,A35,6,1,2,2805.0,0.16666666666666666,2.2306912417808182,0.6666666666666666,0.0,0.8333333333333334,1.0,0.6666666666666666,0.0,0.5,0.0,0.16666666666666666,0.0
clean_strict,lung,10x 5' v1,A36,51,2,14,4662.0,0.0392156862745098,1.0995147760876558,0.45098039215686275,0.5,0.8431372549019608,1.0,0.7843137254901961,0.5,0.23529411764705882,1.0,0.4117647058823529,1.0
