batch,condition,lineage,rho_per_sample,rho_pooled,rho_wide
90,Normal,CD8T,0.14718645396771346,0.16616781122380384,0.13972885134652296
90,Tumor,CD4T,0.1586111664575867,0.141893047074833,0.1468176730094302
90,Normal,CD4T,0.13389860928769112,0.141893047074833,0.13209590354139591
90,Tumor,B,0.06021246551150081,0.061896843907331175,0.12556890660014952
90,Normal,B,0.07347559801814064,0.061896843907331175,1.0
90,Tumor,Myeloid,0.1577372883904668,0.1460878354150698,0.25966569758973307
90,Normal,Myeloid,0.13170608700839212,0.1460878354150698,0.3614343862505002
91,Tumor,NK,0.5068012212007155,0.3166098323181528,0.7609365071499992
91,Normal,NK,0.1960718159272801,0.3166098323181528,0.2931916735874932
91,Tumor,CD8T,0.24739916821143965,0.21268925321898968,0.2387782669902086
91,Normal,CD8T,0.18480455266771828,0.21268925321898968,0.18870826472161412
91,Tumor,CD4T,0.1465333786263011,0.14219023829028202,0.13801745534675672
